set_size,target_present,condition_type,corr_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,practice_loop.thisRepN,practice_loop.thisTrialN,practice_loop.thisN,practice_loop.thisIndex,formal_loop.thisRepN,formal_loop.thisTrialN,formal_loop.thisN,formal_loop.thisIndex,thisRow.t,notes,piloting,start.started,open_text.started,start_key.started,start.stopped,start_key.keys,start_key.rt,start_key.duration,instr_practice.started,prac_text.started,prac_key.started,instr_practice.stopped,prac_key.keys,prac_key.rt,prac_key.duration,fixation.started,fix_text.started,fixation.stopped,trial.started,key_resp.started,trial.stopped,practice_loop.key_resp.keys,practice_loop.key_resp.corr,feedback.started,fb_text.started,feedback.stopped,ITI.started,ITI_text.started,ITI.stopped,practice_loop.key_resp.rt,practice_loop.key_resp.duration,instr_formal.started,formal_text.started,formal_key.started,instr_formal.stopped,formal_key.keys,formal_key.rt,formal_key.duration,formal_loop.key_resp.keys,formal_loop.key_resp.corr,formal_loop.key_resp.rt,formal_loop.key_resp.duration,ITI_text.stopped,fix_text.stopped,thanks.started,thanks_text.started,thanks.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,False,0.00444450000031793,0.02783110000018496,0.02783110000018496,8.73829620000106,space,8.542121399999814,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190332,001,2026-04-16_10h43.17.905,midterm_project,,2026.1.1,59.82560835159888,2026-04-16 10h43.19.067647 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.738347399999839,8.746837000000596,8.746837000000596,19.806377000000793,space,11.046085600000879,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190332,001,2026-04-16_10h43.17.905,midterm_project,,2026.1.1,59.82560835159888,2026-04-16 10h43.19.067647 +0800,
24,1,conjunction,right,0,0,0,None,0,,,0,0,0,4,,,,,19.942202199999883,,,,,,,,,,,,,,,,,19.896566900000835,19.942202199999883,20.322092899999916,20.480161299999963,20.501494500000263,22.320939200000794,None,0,22.321048600000722,22.35017770000013,23.82081450000078,23.820876900001167,23.838922700000694,24.32108150000022,,,,,,,,,,,,,,,,,,,190332,001,2026-04-16_10h43.17.905,midterm_project,,2026.1.1,59.82560835159888,2026-04-16 10h43.19.067647 +0800,
4,1,conjunction,right,1,1,0,right,1,1.5981570000003558,None,0,1,1,3,,,,,24.338469700000132,,,,,,,,,,,,,,,,,24.321466400000645,24.338469700000132,24.822815500001525,24.847814000000653,24.85658719999992,26.456873799999812,right,1,26.457123300000603,26.502192800000557,27.97014990000025,27.970195700001568,27.98653280000144,28.47193960000004,1.5981570000003558,None,,,,,,,,,,,,,,,,,190332,001,2026-04-16_10h43.17.905,midterm_project,,2026.1.1,59.82560835159888,2026-04-16 10h43.19.067647 +0800,
24,1,feature,right,2,2,0,right,1,1.2034336999986408,None,0,2,2,1,,,,,28.488423100001455,,,,,,,,,,,,,,,,,28.472407700000986,28.488423100001455,28.975197300000218,29.033085900000515,29.053633600000467,30.25943180000104,right,1,30.259558300000208,30.28578000000016,31.77006050000091,31.77015250000113,31.786164200000712,32.270546800000375,1.2034336999986408,None,,,,,,,,,,,,,,,,,190332,001,2026-04-16_10h43.17.905,midterm_project,,2026.1.1,59.82560835159888,2026-04-16 10h43.19.067647 +0800,
12,0,conjunction,left,3,3,0,None,0,,,0,3,3,5,,,,,32.28782130000036,,,,,,,,,,,,,,,,,32.27097330000106,32.28782130000036,32.77096850000089,32.82593150000139,32.83925400000044,34.76978220000092,None,0,34.76989170000161,34.788012800001525,36.26931650000006,36.269384700000955,36.28649140000016,36.77053890000025,,,,,,,,,,,,,,,,,,,190332,001,2026-04-16_10h43.17.905,midterm_project,,2026.1.1,59.82560835159888,2026-04-16 10h43.19.067647 +0800,
4,1,feature,right,4,4,0,right,1,0.8221933000004356,None,0,4,4,0,,,,,36.78686999999991,,,,,,,,,,,,,,,,,36.77114270000129,36.78686999999991,37.27037820000078,37.28820430000087,37.2994206000003,38.13692860000083,right,1,38.13704670000152,38.233072200000606,39.653078900000764,39.653162700000394,39.66934890000084,40.15391090000048,0.8221933000004356,None,,,,,,,,,,,,,,,,,190332,001,2026-04-16_10h43.17.905,midterm_project,,2026.1.1,59.82560835159888,2026-04-16 10h43.19.067647 +0800,
12,0,feature,left,5,5,0,left,1,0.8211522999990848,None,0,5,5,2,,,,,40.16926700000113,,,,,,,,,,,,,,,,,40.1544457,40.16926700000113,40.65279520000149,40.68477260000145,40.70347390000097,41.53765160000148,left,1,41.53773750000073,41.55418810000083,43.05188520000047,43.051982700000735,43.06962510000085,43.55147880000004,0.8211522999990848,None,,,,,,,,,,,,,,,,,190332,001,2026-04-16_10h43.17.905,midterm_project,,2026.1.1,59.82560835159888,2026-04-16 10h43.19.067647 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.55170330000146,43.57128809999995,43.57128809999995,98.39709650000077,space,54.81977410000036,None,,,,,,,,,,190332,001,2026-04-16_10h43.17.905,midterm_project,,2026.1.1,59.82560835159888,2026-04-16 10h43.19.067647 +0800,
24,0,conjunction,left,0,0,0,right,0,0.9716906999983621,None,,,,,0,0,0,23,98.4255299000015,,,,,,,,,,,,,,,,,98.42076439999983,98.4255299000015,98.91169450000052,98.99613020000106,99.01739410000118,100.00257039999997,,,,,,100.00269730000036,100.01185080000141,100.4949703000002,,,,,,,,,,right,0,0.9716906999983621,None,100.51140980000127,,,,,190332,001,2026-04-16_10h43.17.905,midterm_project,,2026.1.1,59.82560835159888,2026-04-16 10h43.19.067647 +0800,
4,1,conjunction,right,1,1,0,left,0,0.4490249999998923,None,,,,,0,1,1,18,100.51140980000127,,,,,,,,,,,,,,,,,100.49543310000081,100.51140980000127,100.99467550000008,101.01932120000129,101.029028500001,101.4802509000001,,,,,,101.48039750000135,101.4944446999998,101.97734670000136,,,,,,,,,,left,0,0.4490249999998923,None,101.99346590000096,101.029028500001,,,,190332,001,2026-04-16_10h43.17.905,midterm_project,,2026.1.1,59.82560835159888,2026-04-16 10h43.19.067647 +0800,
4,0,feature,left,2,2,0,right,0,1.0702146000003268,None,,,,,0,2,2,27,101.99346590000096,,,,,,,,,,,,,,,,,101.97765790000085,101.99346590000096,102.47975300000144,102.50682710000001,102.51798229999986,103.59855820000121,,,,,,103.59876450000047,103.61175520000143,104.11051220000081,,,,,,,,,,right,0,1.0702146000003268,None,,102.51798229999986,,,,190332,001,2026-04-16_10h43.17.905,midterm_project,,2026.1.1,59.82560835159888,2026-04-16 10h43.19.067647 +0800,
12,0,feature,left,3,3,0,None,0,,,,,,,0,3,3,16,104.12700519999999,,,,,,,,,,,,,,,,,104.1108107,104.12700519999999,104.61103189999994,104.64773810000042,104.66053410000131,106.6115135,,,,,,106.61181570000008,106.62688800000069,107.11040460000004,,,,,,,,,,None,0,,,,,,,,190332,001,2026-04-16_10h43.17.905,midterm_project,,2026.1.1,59.82560835159888,2026-04-16 10h43.19.067647 +0800,
4,0,feature,left,4,4,0,None,0,,,,,,,0,4,4,15,107.12630530000024,,,,,,,,,,,,,,,,,107.11069780000071,107.12630530000024,107.61204560000078,107.63314010000067,107.64222550000159,109.6102604000007,,,,,,109.61038440000084,109.62652450000132,110.10986850000154,,,,,,,,,,None,0,,,,,,,,190332,001,2026-04-16_10h43.17.905,midterm_project,,2026.1.1,59.82560835159888,2026-04-16 10h43.19.067647 +0800,
4,1,conjunction,right,5,5,0,right,1,1.6285723000000871,None,,,,,0,5,5,30,110.12614300000132,,,,,,,,,,,,,,,,,110.11023569999998,110.12614300000132,110.61137880000024,110.63248440000098,110.64071460000014,112.2790999000008,,,,,,112.27930710000146,112.29361670000071,112.77921400000014,,,,,,,,,,right,1,1.6285723000000871,None,112.79514350000136,,,,,190332,001,2026-04-16_10h43.17.905,midterm_project,,2026.1.1,59.82560835159888,2026-04-16 10h43.19.067647 +0800,
24,0,conjunction,left,6,6,0,None,0,,,,,,,0,6,6,35,112.79514350000136,,,,,,,,,,,,,,,,,112.78006770000138,112.79514350000136,113.29440070000055,113.36894630000097,113.39056140000139,115.29204320000099,,,,,,115.29215770000155,115.30893430000106,115.79226960000051,,,,,,,,,,None,0,,,,,,,,190332,001,2026-04-16_10h43.17.905,midterm_project,,2026.1.1,59.82560835159888,2026-04-16 10h43.19.067647 +0800,
12,0,conjunction,left,7,7,0,left,1,1.1536828999996942,None,,,,,0,7,7,10,115.80875120000019,,,,,,,,,,,,,,,,,115.79264240000157,115.80875120000019,116.29252600000109,116.33579070000087,116.34879499999988,117.51330960000087,,,,,,117.51346000000012,117.52544190000117,118.00887169999987,,,,,,,,,,left,1,1.1536828999996942,None,118.02486830000089,,,,,190332,001,2026-04-16_10h43.17.905,midterm_project,,2026.1.1,59.82560835159888,2026-04-16 10h43.19.067647 +0800,
12,0,feature,left,8,8,0,left,1,0.17451310000069498,None,,,,,0,8,8,4,118.02486830000089,,,,,,,,,,,,,,,,,118.00915520000126,118.02486830000089,118.51198970000041,118.54789340000025,118.56045660000018,118.74495800000113,,,,,,118.74510030000056,118.75796320000154,119.24286310000025,,,,,,,,,,left,1,0.17451310000069498,None,119.25861830000031,118.56045660000018,,,,190332,001,2026-04-16_10h43.17.905,midterm_project,,2026.1.1,59.82560835159888,2026-04-16 10h43.19.067647 +0800,
