set_size,target_present,condition_type,corr_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,practice_loop.thisRepN,practice_loop.thisTrialN,practice_loop.thisN,practice_loop.thisIndex,formal_loop.thisRepN,formal_loop.thisTrialN,formal_loop.thisN,formal_loop.thisIndex,thisRow.t,notes,piloting,start.started,open_text.started,start_key.started,start.stopped,start_key.keys,start_key.rt,start_key.duration,instr_practice.started,prac_text.started,prac_key.started,instr_practice.stopped,prac_key.keys,prac_key.rt,prac_key.duration,fixation.started,fix_text.started,fixation.stopped,trial.started,key_resp.started,trial.stopped,practice_loop.key_resp.keys,practice_loop.key_resp.corr,feedback.started,fb_text.started,feedback.stopped,ITI.started,ITI_text.started,ITI.stopped,practice_loop.key_resp.rt,practice_loop.key_resp.duration,fb_text.stopped,ITI_text.stopped,fix_text.stopped,instr_formal.started,formal_text.started,formal_key.started,instr_formal.stopped,formal_key.keys,formal_key.rt,formal_key.duration,formal_loop.key_resp.keys,formal_loop.key_resp.corr,formal_loop.key_resp.rt,formal_loop.key_resp.duration,thanks.started,thanks_text.started,thanks.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,False,0.004100400023162365,0.010695100005250424,0.010695100005250424,1.6412541000172496,space,1.6055297999992035,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2026-04-15_21h44.36.873,midterm_project,,2026.1.1,59.90186875058361,2026-04-15 21h44.37.298888 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6413142000092193,1.6476209000102244,1.6476209000102244,3.321379200031515,space,1.669855699990876,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2026-04-15_21h44.36.873,midterm_project,,2026.1.1,59.90186875058361,2026-04-15 21h44.37.298888 +0800,
4,1,conjunction,right,0,0,0,None,0,,,0,0,0,3,,,,,3.3587676000315696,,,,,,,,,,,,,,,,,3.353816699993331,3.3587676000315696,3.836410199990496,3.8704585999948904,3.877238099987153,5.836024100019131,None,0,5.836262900033034,5.860290999989957,7.336114600009751,7.336226899991743,7.352208200027235,7.835722099989653,,,,,,,,,,,,,,,,,,,,1,001,2026-04-15_21h44.36.873,midterm_project,,2026.1.1,59.90186875058361,2026-04-15 21h44.37.298888 +0800,
4,1,feature,right,1,1,0,right,1,0.7161631999770179,None,0,1,1,0,,,,,7.852218899992295,,,,,,,,,,,,,,,,,7.836470399983227,7.852218899992295,8.336078300024383,8.356437099981122,8.363671900006011,9.087252600002103,right,1,9.087385500024538,9.108966900035739,10.602200000023004,10.60233900003368,10.618165099993348,11.101478299999144,0.7161631999770179,None,,,,,,,,,,,,,,,,,,1,001,2026-04-15_21h44.36.873,midterm_project,,2026.1.1,59.90186875058361,2026-04-15 21h44.37.298888 +0800,
12,0,conjunction,left,2,2,0,left,1,1.5761871000286192,None,0,2,2,5,,,,,11.118127699999604,,,,,,,,,,,,,,,,,11.101677099999506,11.118127699999604,11.601748100016266,11.64133379998384,11.653396699985024,13.237530399987008,left,1,13.237633400014602,13.251931000035256,14.736285699997097,14.736355900007766,14.751784400024917,15.23501619999297,1.5761871000286192,None,14.751784400024917,15.25147570000263,,,,,,,,,,,,,,,,1,001,2026-04-15_21h44.36.873,midterm_project,,2026.1.1,59.90186875058361,2026-04-15 21h44.37.298888 +0800,
12,0,feature,left,3,3,0,left,1,0.9484199000289664,None,0,3,3,2,,,,,15.25147570000263,,,,,,,,,,,,,,,,,15.235415900009684,15.25147570000263,15.7361434000195,15.769908600021154,15.781236600014381,16.73610630002804,left,1,16.736183400033042,16.750690400018357,18.23471950000385,18.234761300031096,18.250841400003992,18.735013100027572,0.9484199000289664,None,18.250841400003992,18.750705000013113,15.781236600014381,,,,,,,,,,,,,,,1,001,2026-04-15_21h44.36.873,midterm_project,,2026.1.1,59.90186875058361,2026-04-15 21h44.37.298888 +0800,
24,1,conjunction,right,4,4,0,right,1,0.6639358000247739,None,0,4,4,4,,,,,18.750705000013113,,,,,,,,,,,,,,,,,18.73544140002923,18.750705000013113,19.234453900018707,19.30753910000203,19.32730599999195,20.004435600014403,right,1,20.00452519999817,20.017104700033087,21.50132500001928,21.50136900000507,21.516795800009277,22.000838699983433,0.6639358000247739,None,21.516795800009277,22.01691700000083,19.32730599999195,,,,,,,,,,,,,,,1,001,2026-04-15_21h44.36.873,midterm_project,,2026.1.1,59.90186875058361,2026-04-15 21h44.37.298888 +0800,
24,1,feature,right,5,5,0,right,1,0.787755900004413,None,0,5,5,1,,,,,22.01691700000083,,,,,,,,,,,,,,,,,22.001121899986174,22.01691700000083,22.50023990002228,22.54673120001098,22.56617120001465,23.369884699990507,right,1,23.369960399984848,23.383335700025782,24.86755640001502,24.867619200027548,24.883335900027305,25.366684500011615,0.787755900004413,None,24.883335900027305,25.38378010003362,22.56617120001465,,,,,,,,,,,,,,,1,001,2026-04-15_21h44.36.873,midterm_project,,2026.1.1,59.90186875058361,2026-04-15 21h44.37.298888 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.366832700034138,25.38378010003362,25.38378010003362,27.184306300012395,space,1.7963375999825075,None,,,,,,,,1,001,2026-04-15_21h44.36.873,midterm_project,,2026.1.1,59.90186875058361,2026-04-15 21h44.37.298888 +0800,
12,1,feature,right,0,0,0,right,1,0.6902150999521837,None,,,,,0,0,0,1,27.203611100034323,,,,,,,,,,,,,,,,,27.20010190003086,27.203611100034323,27.699849100026768,27.72813430003589,27.7393960999907,28.437023400038015,,,,,,28.437116299988702,28.449546799995005,28.93334980000509,,,,28.94991540000774,,,,,,,,,right,1,0.6902150999521837,None,,,,1,001,2026-04-15_21h44.36.873,midterm_project,,2026.1.1,59.90186875058361,2026-04-15 21h44.37.298888 +0800,
