set_size,target_present,condition_type,corr_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,practice_loop.thisRepN,practice_loop.thisTrialN,practice_loop.thisN,practice_loop.thisIndex,formal_loop.thisRepN,formal_loop.thisTrialN,formal_loop.thisN,formal_loop.thisIndex,thisRow.t,notes,piloting,start.started,open_text.started,start_key.started,start.stopped,start_key.keys,start_key.rt,start_key.duration,instr_practice.started,prac_text.started,prac_key.started,instr_practice.stopped,prac_key.keys,prac_key.rt,prac_key.duration,fixation.started,fix_text.started,fix_text.stopped,fixation.stopped,trial.started,key_resp.started,trial.stopped,practice_loop.key_resp.keys,practice_loop.key_resp.corr,practice_loop.key_resp.rt,practice_loop.key_resp.duration,feedback.started,fb_text.started,feedback.stopped,ITI.started,ITI_text.started,ITI.stopped,fb_text.stopped,ITI_text.stopped,instr_formal.started,formal_text.started,formal_key.started,instr_formal.stopped,formal_key.keys,formal_key.rt,formal_key.duration,formal_loop.key_resp.keys,formal_loop.key_resp.corr,formal_loop.key_resp.rt,formal_loop.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,False,0.003161100030411035,0.010852899984456599,0.010852899984456599,1.3708405999932438,space,1.3447192999883555,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,486166,001,2026-04-15_22h25.14.080,midterm_project,,2026.1.1,60.01187034053182,2026-04-15 22h25.14.318484 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3709682999760844,1.3827694000210613,1.3827694000210613,2.242255999997724,space,0.8572057000128552,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,486166,001,2026-04-15_22h25.14.080,midterm_project,,2026.1.1,60.01187034053182,2026-04-15 22h25.14.318484 +0800,
4,1,conjunction,right,0,0,0,left,0,0.449087499990128,None,0,0,0,3,,,,,2.2574665999854915,,,,,,,,,,,,,,,,,2.25342169997748,2.2574665999854915,2.780193299986422,2.7426995999994688,2.7730086999945343,2.780193299986422,3.242333800008055,left,0,0.449087499990128,None,3.2424766999902204,3.260677799989935,4.7584030000143684,4.758511300024111,4.774935800000094,5.2571786000044085,,,,,,,,,,,,,,486166,001,2026-04-15_22h25.14.080,midterm_project,,2026.1.1,60.01187034053182,2026-04-15 22h25.14.318484 +0800,
24,1,conjunction,right,1,1,0,right,1,0.41836390004027635,None,0,1,1,4,,,,,5.273802699986845,,,,,,,,,,,,,,,,,5.257422900001984,5.273802699986845,,5.757471000018995,5.8206518000224605,5.8452157999854535,6.278110100014601,right,1,0.41836390004027635,None,6.278206199989654,6.290435899980366,7.774086199991871,7.77415990002919,7.79014370002551,8.273776700021699,7.79014370002551,8.29004370002076,,,,,,,,,,,,486166,001,2026-04-15_22h25.14.080,midterm_project,,2026.1.1,60.01187034053182,2026-04-15 22h25.14.318484 +0800,
12,0,feature,left,2,2,0,left,1,0.67288520000875,None,0,2,2,2,,,,,8.29004370002076,,,,,,,,,,,,,,,,,8.273965100001078,8.29004370002076,8.803347799985204,8.773438600008376,8.792455599992536,8.803347799985204,9.492267500027083,left,1,0.67288520000875,None,9.492343100020662,9.506946799985599,10.99010090000229,10.990130299993325,11.006218700029422,11.48975170002086,11.006218700029422,11.506168399995659,,,,,,,,,,,,486166,001,2026-04-15_22h25.14.080,midterm_project,,2026.1.1,60.01187034053182,2026-04-15 22h25.14.318484 +0800,
4,1,feature,right,3,3,0,right,1,0.6333100000047125,None,0,3,3,0,,,,,11.506168399995659,,,,,,,,,,,,,,,,,11.489886499999557,11.506168399995659,12.00657859997591,11.989665600005537,11.995317000022624,12.00657859997591,12.65697170002386,right,1,0.6333100000047125,None,12.657035499985795,12.67283110000426,14.156726300017908,14.156778600008693,14.172462999995332,14.656019999994896,14.172462999995332,14.672583399980795,,,,,,,,,,,,486166,001,2026-04-15_22h25.14.080,midterm_project,,2026.1.1,60.01187034053182,2026-04-15 22h25.14.318484 +0800,
12,0,conjunction,left,4,4,0,right,0,1.3414499000064097,None,0,4,4,5,,,,,14.672583399980795,,,,,,,,,,,,,,,,,14.65617969998857,14.672583399980795,15.209749899979215,15.156625500007067,15.194146500027273,15.209749899979215,16.557596300030127,right,0,1.3414499000064097,None,16.557662400009576,16.572873299999628,18.05577740003355,18.05580790003296,18.071917599998415,18.556329599989112,18.071917599998415,18.57200779998675,,,,,,,,,,,,486166,001,2026-04-15_22h25.14.080,midterm_project,,2026.1.1,60.01187034053182,2026-04-15 22h25.14.318484 +0800,
24,1,feature,right,5,5,0,right,1,0.6672199000022374,None,0,5,5,1,,,,,18.57200779998675,,,,,,,,,,,,,,,,,18.556490599992685,18.57200779998675,19.12192770000547,19.055617699981667,19.099644600006286,19.12192770000547,19.791014900023583,right,1,0.6672199000022374,None,19.791075900022406,19.805369000008795,21.2891307999962,21.289174799981993,21.305072400020435,21.78956930001732,21.305072400020435,21.80587540002307,,,,,,,,,,,,486166,001,2026-04-15_22h25.14.080,midterm_project,,2026.1.1,60.01187034053182,2026-04-15 22h25.14.318484 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.790023699984886,21.80587540002307,21.80587540002307,23.03962340002181,space,1.2224086000351235,None,,,,,486166,001,2026-04-15_22h25.14.080,midterm_project,,2026.1.1,60.01187034053182,2026-04-15 22h25.14.318484 +0800,
4,1,conjunction,right,0,0,0,left,0,1.2401096999528818,None,,,,,0,0,0,6,23.06682920001913,,,,,,,,,,,,,,,,,23.063455099996645,23.06682920001913,,23.55488140002126,23.56819750001887,23.57483769999817,24.823004700010642,,,,,,,,24.82312279997859,24.83792010002071,25.32278089999454,,25.338564999983646,,,,,,,,left,0,1.2401096999528818,None,486166,001,2026-04-15_22h25.14.080,midterm_project,,2026.1.1,60.01187034053182,2026-04-15 22h25.14.318484 +0800,
