set_size,target_present,condition_type,corr_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,practice_loop.thisRepN,practice_loop.thisTrialN,practice_loop.thisN,practice_loop.thisIndex,formal_loop.thisRepN,formal_loop.thisTrialN,formal_loop.thisN,formal_loop.thisIndex,thisRow.t,notes,piloting,start.started,open_text.started,start_key.started,start.stopped,start_key.keys,start_key.rt,start_key.duration,instr_practice.started,prac_text.started,prac_key.started,instr_practice.stopped,prac_key.keys,prac_key.rt,prac_key.duration,fixation.started,fix_text.started,fix_text.stopped,fixation.stopped,trial.started,key_resp.started,trial.stopped,practice_loop.key_resp.keys,practice_loop.key_resp.corr,practice_loop.key_resp.rt,practice_loop.key_resp.duration,feedback.started,fb_text.started,feedback.stopped,ITI.started,ITI_text.started,ITI.stopped,fb_text.stopped,ITI_text.stopped,instr_formal.started,formal_text.started,formal_key.started,instr_formal.stopped,formal_key.keys,formal_key.rt,formal_key.duration,formal_loop.key_resp.keys,formal_loop.key_resp.corr,formal_loop.key_resp.rt,formal_loop.key_resp.duration,thanks.started,thanks_text.started,thanks.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,False,0.00396920001367107,0.010309899982530624,0.010309899982530624,1.2544460999779403,space,1.2176513000158593,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,001,2026-04-15_22h21.11.416,midterm_project,,2026.1.1,59.969367630186596,2026-04-15 22h21.11.665738 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2545230999821797,1.2639577999943867,1.2639577999943867,3.8531024999683723,space,2.574014400015585,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,001,2026-04-15_22h21.11.416,midterm_project,,2026.1.1,59.969367630186596,2026-04-15 22h21.11.665738 +0800,
24,1,feature,right,0,0,0,right,1,1.2203080000472255,None,0,0,0,1,,,,,3.8692588999983855,,,,,,,,,,,,,,,,,3.864516099973116,3.8692588999983855,4.418863099999726,4.353035999985877,4.399810899980366,4.418863099999726,5.640817400009837,right,1,1.2203080000472255,None,5.640987499966286,5.6576454999740236,7.153466199990362,7.153732199978549,7.168887200008612,7.653029999986757,,,,,,,,,,,,,,,,,4,001,2026-04-15_22h21.11.416,midterm_project,,2026.1.1,59.969367630186596,2026-04-15 22h21.11.665738 +0800,
4,1,feature,right,1,1,0,right,1,0.849226699967403,None,0,1,1,0,,,,,7.669423999963328,,,,,,,,,,,,,,,,,7.653984099975787,7.669423999963328,,8.151971399958711,8.161506599979475,8.168209999974351,9.022179599967785,right,1,0.849226699967403,None,9.022335999994539,9.044546299963258,10.53500009997515,10.535054099978879,10.551528799987864,11.03487919998588,,,,,,,,,,,,,,,,,4,001,2026-04-15_22h21.11.416,midterm_project,,2026.1.1,59.969367630186596,2026-04-15 22h21.11.665738 +0800,
12,0,conjunction,left,2,2,0,left,1,0.8641422999789938,None,0,2,2,5,,,,,11.051505799987353,,,,,,,,,,,,,,,,,11.035206099972129,11.051505799987353,,11.535358399967663,11.603275900008157,11.61456899996847,12.487287199997809,left,1,0.8641422999789938,None,12.487404899962712,12.50309939996805,14.000981599965598,14.001034099957906,14.017811300000176,14.502009299991187,,,,,,,,,,,,,,,,,4,001,2026-04-15_22h21.11.416,midterm_project,,2026.1.1,59.969367630186596,2026-04-15 22h21.11.665738 +0800,
24,1,conjunction,right,3,3,0,right,1,0.6633303000126034,None,0,3,3,4,,,,,14.517489499994554,,,,,,,,,,,,,,,,,14.502659999998286,14.517489499994554,,15.002393700007815,15.081905299972277,15.101759999990463,15.773368299996946,right,1,0.6633303000126034,None,15.773484000004828,15.786564800015185,17.284362700011116,17.284440999967046,17.30101990001276,17.784276099991985,,,,,,,,,,,,,,,,,4,001,2026-04-15_22h21.11.416,midterm_project,,2026.1.1,59.969367630186596,2026-04-15 22h21.11.665738 +0800,
4,1,conjunction,right,4,4,0,right,1,0.8284440999850631,None,0,4,4,3,,,,,17.80077440000605,,,,,,,,,,,,,,,,,17.784841199987568,17.80077440000605,,18.284261199994944,18.30607459996827,18.314624599996023,19.151857699966058,right,1,0.8284440999850631,None,19.151960799994413,19.1671151999617,20.651950899977237,20.652010299963877,20.66682529996615,21.150703499966767,20.66682529996615,21.167264399991836,,,,,,,,,,,,,,,4,001,2026-04-15_22h21.11.416,midterm_project,,2026.1.1,59.969367630186596,2026-04-15 22h21.11.665738 +0800,
12,0,feature,left,5,5,0,left,1,0.9352797999745235,None,0,5,5,2,,,,,21.167264399991836,,,,,,,,,,,,,,,,,21.151179199980106,21.167264399991836,21.704320399963763,21.651906099985354,21.691184399998747,21.704320399963763,22.651749000011478,left,1,0.9352797999745235,None,22.651882699981797,22.666388000012375,24.150763000012375,24.15082340000663,24.166447299998254,24.65120319998823,24.166447299998254,24.667952899995726,,,,,,,,,,,,,,,4,001,2026-04-15_22h21.11.416,midterm_project,,2026.1.1,59.969367630186596,2026-04-15 22h21.11.665738 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.65157599997474,24.667952899995726,24.667952899995726,26.16744980000658,space,1.4967858999734744,None,,,,,,,,4,001,2026-04-15_22h21.11.416,midterm_project,,2026.1.1,59.969367630186596,2026-04-15 22h21.11.665738 +0800,
4,0,conjunction,left,0,0,0,left,1,1.3328665999579243,None,,,,,0,0,0,33,26.18885739997495,,,,,,,,,,,,,,,,,26.185227899986785,26.18885739997495,,26.683748799958266,26.712433299981058,26.7198782999767,28.067914599960204,,,,,,,,28.068074300012086,28.082373299985193,28.56656289997045,,28.582548999984283,,,,,,,,left,1,1.3328665999579243,None,,,,4,001,2026-04-15_22h21.11.416,midterm_project,,2026.1.1,59.969367630186596,2026-04-15 22h21.11.665738 +0800,
4,0,feature,left,1,1,0,left,1,0.5679440999520011,None,,,,,0,1,1,15,28.582548999984283,,,,,,,,,,,,,,,,,28.566971399995964,28.582548999984283,29.09666029998334,29.06697990000248,29.087485199968796,29.09666029998334,29.66691189998528,,,,,,,,29.66704309999477,29.681952899962198,30.167183200013824,,30.182307499984745,,,,,,,,left,1,0.5679440999520011,None,,,,4,001,2026-04-15_22h21.11.416,midterm_project,,2026.1.1,59.969367630186596,2026-04-15 22h21.11.665738 +0800,
24,0,conjunction,left,2,2,0,left,1,1.661097800009884,None,,,,,0,2,2,11,30.182307499984745,,,,,,,,,,,,,,,,,30.16764040000271,30.182307499984745,30.841570499993395,30.66677939996589,30.814428499958012,30.841570499993395,32.50429549999535,,,,,,,,32.50446319999173,32.51539839996258,32.99993619997986,,33.015120600000955,,,,,,,,left,1,1.661097800009884,None,,,,4,001,2026-04-15_22h21.11.416,midterm_project,,2026.1.1,59.969367630186596,2026-04-15 22h21.11.665738 +0800,
4,0,conjunction,left,3,3,0,left,1,0.6503756999736652,None,,,,,0,3,3,9,33.015120600000955,,,,,,,,,,,,,,,,,33.00066899997182,33.015120600000955,33.52774569997564,33.498914900003,33.520992400008254,33.52774569997564,34.18401259998791,,,,,,,,34.18418360000942,34.19842609995976,34.68201950000366,,34.698860400007106,,,,,,,,left,1,0.6503756999736652,None,,,,4,001,2026-04-15_22h21.11.416,midterm_project,,2026.1.1,59.969367630186596,2026-04-15 22h21.11.665738 +0800,
4,1,feature,right,4,4,0,right,1,0.933582000026945,None,,,,,0,4,4,0,34.698860400007106,,,,,,,,,,,,,,,,,34.68240099999821,34.698860400007106,35.20650139998179,35.181981800007634,35.19779830001062,35.20650139998179,36.14918100001523,,,,,,,,36.14926330000162,36.164697300002445,36.649639899958856,,36.665664799977094,,,,,,,,right,1,0.933582000026945,None,,,,4,001,2026-04-15_22h21.11.416,midterm_project,,2026.1.1,59.969367630186596,2026-04-15 22h21.11.665738 +0800,
12,0,feature,left,5,5,0,left,1,0.7297124000033364,None,,,,,0,5,5,28,36.665664799977094,,,,,,,,,,,,,,,,,36.65055369999027,36.665664799977094,37.184875099977944,37.1485696999589,37.17376490001334,37.184875099977944,37.91838849999476,,,,,,,,37.918548799993005,37.931064300006256,38.41586820001248,,38.43156459997408,,,,,,,,left,1,0.7297124000033364,None,,,,4,001,2026-04-15_22h21.11.416,midterm_project,,2026.1.1,59.969367630186596,2026-04-15 22h21.11.665738 +0800,
24,0,feature,left,6,6,0,left,1,0.6754179000272416,None,,,,,0,6,6,17,38.43156459997408,,,,,,,,,,,,,,,,,38.41653200000292,38.43156459997408,38.97715479996987,38.91470520000439,38.95749959995737,38.97715479996987,39.65334660001099,,,,,,,,39.653474499995355,39.66462269995827,40.14864959998522,,40.16505740000866,,,,,,,,left,1,0.6754179000272416,None,,,,4,001,2026-04-15_22h21.11.416,midterm_project,,2026.1.1,59.969367630186596,2026-04-15 22h21.11.665738 +0800,
24,0,conjunction,left,7,7,0,left,1,1.84407769999234,None,,,,,0,7,7,23,40.16505740000866,,,,,,,,,,,,,,,,,40.14913549995981,40.16505740000866,40.74590869998792,40.64859499997692,40.726315499981865,40.74590869998792,42.60404959996231,,,,,,,,42.60414959996706,42.61376350000501,43.09748249995755,,43.11402229999658,,,,,,,,left,1,1.84407769999234,None,,,,4,001,2026-04-15_22h21.11.416,midterm_project,,2026.1.1,59.969367630186596,2026-04-15 22h21.11.665738 +0800,
12,0,conjunction,left,8,8,0,left,1,1.114085300010629,None,,,,,0,8,8,10,43.11402229999658,,,,,,,,,,,,,,,,,43.09772520000115,43.11402229999658,43.66258679999737,43.5984671000042,43.65080389997456,43.66258679999737,44.78238739998778,,,,,,,,44.78248110000277,44.79686269996455,45.280761200003326,,45.29764529998647,,,,,,,,left,1,1.114085300010629,None,,,,4,001,2026-04-15_22h21.11.416,midterm_project,,2026.1.1,59.969367630186596,2026-04-15 22h21.11.665738 +0800,
12,0,conjunction,left,9,9,0,left,1,0.8611360999639146,None,,,,,0,9,9,22,45.29764529998647,,,,,,,,,,,,,,,,,45.2811359000043,45.29764529998647,45.82862109999405,45.78062450001016,45.81708269997034,45.82862109999405,46.69906650000485,,,,,,,,46.699167000013404,46.713484700012486,47.19693629996618,,47.21320060000289,,,,,,,,left,1,0.8611360999639146,None,,,,4,001,2026-04-15_22h21.11.416,midterm_project,,2026.1.1,59.969367630186596,2026-04-15 22h21.11.665738 +0800,
24,0,feature,left,10,10,0,left,1,0.87562170001911,None,,,,,0,10,10,29,47.21320060000289,,,,,,,,,,,,,,,,,47.19725849997485,47.21320060000289,47.76460110000335,47.69711259996984,47.74538229999598,47.76460110000335,48.650795999972615,,,,,,,,48.650901299959514,48.66310269996757,49.14814159995876,,49.16374389996054,,,,,,,,left,1,0.87562170001911,None,,,,4,001,2026-04-15_22h21.11.416,midterm_project,,2026.1.1,59.969367630186596,2026-04-15 22h21.11.665738 +0800,
24,0,conjunction,left,11,11,0,left,1,0.6671124999993481,None,,,,,0,11,11,35,49.16374389996054,,,,,,,,,,,,,,,,,49.148820300004445,49.16374389996054,49.735667300003115,49.64673519995995,49.715218500001356,49.735667300003115,50.4159793999861,,,,,,,,50.41605459997663,50.42974429996684,50.91450279997662,,50.929755299992394,,,,,,,,left,1,0.6671124999993481,None,,,,4,001,2026-04-15_22h21.11.416,midterm_project,,2026.1.1,59.969367630186596,2026-04-15 22h21.11.665738 +0800,
