set_size,target_present,condition_type,corr_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,practice_loop.thisRepN,practice_loop.thisTrialN,practice_loop.thisN,practice_loop.thisIndex,formal_loop.thisRepN,formal_loop.thisTrialN,formal_loop.thisN,formal_loop.thisIndex,thisRow.t,notes,piloting,start.started,open_text.started,start_key.started,start.stopped,start_key.keys,start_key.rt,start_key.duration,instr_practice.started,prac_text.started,prac_key.started,instr_practice.stopped,prac_key.keys,prac_key.rt,prac_key.duration,fixation.started,fix_text.started,fixation.stopped,trial.started,key_resp.started,trial.stopped,practice_loop.key_resp.keys,practice_loop.key_resp.corr,feedback.started,fb_text.started,feedback.stopped,ITI.started,ITI_text.started,ITI.stopped,practice_loop.key_resp.rt,practice_loop.key_resp.duration,fb_text.stopped,ITI_text.stopped,fix_text.stopped,instr_formal.started,formal_text.started,formal_key.started,instr_formal.stopped,formal_key.keys,formal_key.rt,formal_key.duration,formal_loop.key_resp.keys,formal_loop.key_resp.corr,formal_loop.key_resp.rt,formal_loop.key_resp.duration,thanks.started,thanks_text.started,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,False,0.0030470999772660434,0.009317099989857525,0.009317099989857525,1.1855146000161767,space,1.1676869000075385,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,001,2026-04-15_22h23.16.963,midterm_project,,2026.1.1,60.022820689479786,2026-04-15 22h23.17.193531 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.18558980000671,1.1944617999834009,1.1944617999834009,3.628224299987778,space,2.431505700049456,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,001,2026-04-15_22h23.16.963,midterm_project,,2026.1.1,60.022820689479786,2026-04-15 22h23.17.193531 +0800,
12,0,feature,left,0,0,0,None,0,,,0,0,0,2,,,,,3.645309699990321,,,,,,,,,,,,,,,,,3.641134899982717,3.645309699990321,4.1289012000197545,4.170507800008636,4.184094899974298,6.1433737999759614,None,0,6.143468900001608,6.160192299983464,7.643136399972718,7.643184799992014,7.659762799972668,8.14456699998118,,,,,,,,,,,,,,,,,,,5,001,2026-04-15_22h23.16.963,midterm_project,,2026.1.1,60.022820689479786,2026-04-15 22h23.17.193531 +0800,
24,1,feature,right,1,1,0,right,1,0.8352532000280917,None,0,1,1,1,,,,,8.160301900003105,,,,,,,,,,,,,,,,,8.145231699978467,8.160301900003105,8.644143000012264,8.69600920000812,8.715062999981456,9.56429189996561,right,1,9.564403199998196,9.579385299992282,11.076644700020552,11.07672219997039,11.093094200012274,11.577311199973337,0.8352532000280917,None,,,,,,,,,,,,,,,,,5,001,2026-04-15_22h23.16.963,midterm_project,,2026.1.1,60.022820689479786,2026-04-15 22h23.17.193531 +0800,
4,1,conjunction,right,2,2,0,right,1,0.7812732000020333,None,0,2,2,3,,,,,11.593278300017118,,,,,,,,,,,,,,,,,11.5779174999916,11.593278300017118,12.07745129999239,12.115702099981718,12.122735799988732,12.91189960000338,right,1,12.912062100018375,12.926770200021565,14.410733499971684,14.410933499981184,14.425954499980435,14.910924799973145,0.7812732000020333,None,14.425954499980435,14.926672099973075,,,,,,,,,,,,,,,5,001,2026-04-15_22h23.16.963,midterm_project,,2026.1.1,60.022820689479786,2026-04-15 22h23.17.193531 +0800,
4,1,feature,right,3,3,0,right,1,1.07541620003758,None,0,3,3,0,,,,,14.926672099973075,,,,,,,,,,,,,,,,,14.911618700018153,14.926672099973075,15.410046899982262,15.427651299978606,15.436667100002524,16.526353899971582,right,1,16.526437899970915,16.541949899983592,18.02651049999986,18.026590399967972,18.04204019997269,18.52516309998464,1.07541620003758,None,18.04204019997269,18.541596699971706,15.436667100002524,,,,,,,,,,,,,,5,001,2026-04-15_22h23.16.963,midterm_project,,2026.1.1,60.022820689479786,2026-04-15 22h23.17.193531 +0800,
12,0,conjunction,left,4,4,0,left,1,1.1045287000015378,None,0,4,4,5,,,,,18.541596699971706,,,,,,,,,,,,,,,,,18.52531789999921,18.541596699971706,19.02689029998146,19.072903599997517,19.0839347000001,20.195171399973333,left,1,20.19528809998883,20.208502499968745,21.693018699996173,21.693095099995844,21.70812720002141,22.191725499986205,1.1045287000015378,None,21.70812720002141,22.208212699973956,19.0839347000001,,,,,,,,,,,,,,5,001,2026-04-15_22h23.16.963,midterm_project,,2026.1.1,60.022820689479786,2026-04-15 22h23.17.193531 +0800,
24,1,conjunction,right,5,5,0,right,1,0.9699476000387222,None,0,5,5,4,,,,,22.208212699973956,,,,,,,,,,,,,,,,,22.192045199975837,22.208212699973956,22.69331190001685,22.77345019998029,22.792664300010074,23.777908399992157,right,1,23.777989499969408,23.791244100022595,25.275577299995348,25.27564639999764,25.291311500011943,25.775283599970862,0.9699476000387222,None,25.291311500011943,25.79402339999797,22.792664300010074,,,,,,,,,,,,,,5,001,2026-04-15_22h23.16.963,midterm_project,,2026.1.1,60.022820689479786,2026-04-15 22h23.17.193531 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.775541200011503,25.79402339999797,25.79402339999797,27.2421711999923,space,1.4446469999966212,None,,,,,,,5,001,2026-04-15_22h23.16.963,midterm_project,,2026.1.1,60.022820689479786,2026-04-15 22h23.17.193531 +0800,
24,1,conjunction,right,0,0,0,right,1,1.3550318000488915,None,,,,,0,0,0,32,27.26252879999811,,,,,,,,,,,,,,,,,27.25903620000463,27.26252879999811,27.757301900011953,27.910879399976693,27.933490599971265,29.295211699965876,,,,,,29.295323099999223,29.307320899970364,29.791460899985395,,,,29.807797599991318,,,,,,,,,right,1,1.3550318000488915,None,,,5,001,2026-04-15_22h23.16.963,midterm_project,,2026.1.1,60.022820689479786,2026-04-15 22h23.17.193531 +0800,
4,0,feature,left,1,1,0,left,1,1.4794764000107534,None,,,,,0,1,1,3,29.807797599991318,,,,,,,,,,,,,,,,,29.791926399979275,29.807797599991318,30.290832299971953,30.303184600023087,30.31020050001098,31.793317699979525,,,,,,31.793511900003068,31.806944800016936,32.29056069999933,,,,32.30696139996871,30.31020050001098,,,,,,,,left,1,1.4794764000107534,None,,,5,001,2026-04-15_22h23.16.963,midterm_project,,2026.1.1,60.022820689479786,2026-04-15 22h23.17.193531 +0800,
4,0,feature,left,2,2,0,left,1,0.47051710000960156,None,,,,,0,2,2,15,32.30696139996871,,,,,,,,,,,,,,,,,32.29098679998424,32.30696139996871,32.79174209997291,32.81068549997872,32.81995249999454,33.295561200007796,,,,,,33.29599459999008,33.30671769997571,33.790952100011054,,,,33.80732989998069,32.81995249999454,,,,,,,,left,1,0.47051710000960156,None,,,5,001,2026-04-15_22h23.16.963,midterm_project,,2026.1.1,60.022820689479786,2026-04-15 22h23.17.193531 +0800,
4,1,feature,right,3,3,0,right,1,0.5422051000059582,None,,,,,0,3,3,0,33.80732989998069,,,,,,,,,,,,,,,,,33.791456200007815,33.80732989998069,34.30634579999605,34.314512600016315,34.32271520001814,34.87580550002167,,,,,,34.87600139999995,34.88969709997764,35.37331419996917,,,,35.38930799998343,,,,,,,,,right,1,0.5422051000059582,None,,,5,001,2026-04-15_22h23.16.963,midterm_project,,2026.1.1,60.022820689479786,2026-04-15 22h23.17.193531 +0800,
4,1,conjunction,right,4,4,0,right,1,0.6069005000172183,None,,,,,0,4,4,6,35.38930799998343,,,,,,,,,,,,,,,,,35.37353450001683,35.38930799998343,35.873444799974095,35.888902899983805,35.89571349998005,36.5088218000019,,,,,,36.509047299972735,36.52285660000052,37.00753339997027,,,,37.023340500018094,35.89571349998005,,,,,,,,right,1,0.6069005000172183,None,,,5,001,2026-04-15_22h23.16.963,midterm_project,,2026.1.1,60.022820689479786,2026-04-15 22h23.17.193531 +0800,
12,0,feature,left,5,5,0,left,1,0.5814055999508128,None,,,,,0,5,5,4,37.023340500018094,,,,,,,,,,,,,,,,,37.008275599975605,37.023340500018094,37.50645499996608,37.53198520001024,37.54431129997829,38.14224010001635,,,,,,38.14236009999877,38.155999100010376,38.6408073999919,,,,38.65607500000624,37.54431129997829,,,,,,,,left,1,0.5814055999508128,None,,,5,001,2026-04-15_22h23.16.963,midterm_project,,2026.1.1,60.022820689479786,2026-04-15 22h23.17.193531 +0800,
4,1,feature,right,6,6,0,right,1,0.5162309000152163,None,,,,,0,6,6,12,38.65607500000624,,,,,,,,,,,,,,,,,38.64149579999503,38.65607500000624,39.13951950002229,39.15219940000679,39.159571299969684,39.69029790000059,,,,,,39.690399800019804,39.70562229998177,40.18967260001227,,,,40.2058406000142,39.159571299969684,,,,,,,,right,1,0.5162309000152163,None,,,5,001,2026-04-15_22h23.16.963,midterm_project,,2026.1.1,60.022820689479786,2026-04-15 22h23.17.193531 +0800,
12,1,conjunction,right,7,7,0,right,1,0.570391200017184,None,,,,,0,7,7,31,40.2058406000142,,,,,,,,,,,,,,,,,40.190052399993874,40.2058406000142,40.69087829999626,40.74527259997558,40.757216199999675,41.3297392000095,,,,,,41.330101799976546,41.33895240002312,41.822370300011244,,,,41.83883710001828,40.757216199999675,,,,,,,,right,1,0.570391200017184,None,,,5,001,2026-04-15_22h23.16.963,midterm_project,,2026.1.1,60.022820689479786,2026-04-15 22h23.17.193531 +0800,
