thisN,thisTrialN,thisRepN,set_size,target_present,condition_type,corr_resp,prac_key_resp.keys,prac_key_resp.corr,prac_key_resp.rt,prac_key_resp.duration,practice_repeat_loop.thisRepN,practice_repeat_loop.thisTrialN,practice_repeat_loop.thisN,practice_repeat_loop.thisIndex,practice_loop.thisRepN,practice_loop.thisTrialN,practice_loop.thisN,practice_loop.thisIndex,thisRow.t,notes,piloting,start.started,open_text.started,start_key.started,start.stopped,start_key.keys,start_key.rt,start_key.duration,instr_practice.started,prac_text.started,prac_key.started,instr_practice.stopped,prac_key.keys,prac_key.rt,prac_key.duration,reset_prac_acc.started,reset_prac_acc.stopped,fixation.started,fix_text.started,fixation.stopped,trial_prac.started,prac_key_resp.started,trial_prac.stopped,practice_loop.prac_key_resp.keys,practice_loop.prac_key_resp.corr,practice_loop.prac_key_resp.rt,practice_loop.prac_key_resp.duration,feedback.started,fb_text.started,feedback.stopped,ITI.started,ITI_text.started,ITI.stopped,fb_text.stopped,ITI_text.stopped,fix_text.stopped,prac_feedback.started,prac_fb_text.started,prac_feedback.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,False,0.003382400027476251,0.010035299987066537,0.010035299987066537,0.7214161999872886,space,0.6934150000452064,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,749848,001,2026-04-19_21h34.44.203,midterm_project,,2026.1.1,60.112988379542514,2026-04-19 21h34.44.444940 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7215877000126056,0.7347923000343144,0.7347923000343144,1.1944934999919496,space,0.44329610001295805,None,,,,,,,,,,,,,,,,,,,,,,,,,749848,001,2026-04-19_21h34.44.203,midterm_project,,2026.1.1,60.112988379542514,2026-04-19 21h34.44.444940 +0800,
0,0,0,4,1,feature,right,right,1,0.6737248999997973,None,0,0,0,0,0,0,0,0,1.246974700014107,,,,,,,,,,,,,,,,,1.195860200037714,1.1958876000135206,1.2103391999844462,1.246974700014107,1.709445099986624,1.7207489000284113,1.7279272000305355,2.4104809000273235,right,1,0.6737248999997973,None,2.4105980999884196,2.429842900019139,3.926463700016029,3.9265527999959886,3.942997000005562,4.426121600030456,,,,,,,749848,001,2026-04-19_21h34.44.203,midterm_project,,2026.1.1,60.112988379542514,2026-04-19 21h34.44.444940 +0800,
1,1,0,12,0,feature,left,left,1,0.7086545000202022,None,0,0,0,0,0,1,1,2,4.442561300005764,,,,,,,,,,,,,,,,,,,4.426506799994968,4.442561300005764,4.926734600041527,4.967281199991703,4.981455900007859,5.694890699989628,left,1,0.7086545000202022,None,5.695006299996749,5.710537500039209,7.209582899988163,7.209860500006471,7.225352699984796,7.709089000010863,,,,,,,749848,001,2026-04-19_21h34.44.203,midterm_project,,2026.1.1,60.112988379542514,2026-04-19 21h34.44.444940 +0800,
2,2,0,4,1,conjunction,right,left,0,0.4304934000247158,None,0,0,0,0,0,2,2,3,7.725231399992481,,,,,,,,,,,,,,,,,,,7.709396000020206,7.725231399992481,8.209487900021486,8.243402499996591,8.249597800022457,8.69397730001947,left,0,0.4304934000247158,None,8.694125799986068,8.708639700023923,10.19289010000648,10.19295230001444,10.208295300020836,10.692198200034909,10.208295300020836,10.708513399993535,,,,,749848,001,2026-04-19_21h34.44.203,midterm_project,,2026.1.1,60.112988379542514,2026-04-19 21h34.44.444940 +0800,
3,3,0,12,0,conjunction,left,left,1,0.7522065000375733,None,0,0,0,0,0,3,3,5,10.708513399993535,,,,,,,,,,,,,,,,,,,10.69249620003393,10.708513399993535,11.192977600032464,11.240229199989699,11.25133260001894,12.011769000033382,left,1,0.7522065000375733,None,12.011912600020878,12.028602900041733,13.525422999984585,13.525540700007696,13.541554299998097,14.02521190000698,,,11.25133260001894,,,,749848,001,2026-04-19_21h34.44.203,midterm_project,,2026.1.1,60.112988379542514,2026-04-19 21h34.44.444940 +0800,
4,4,0,24,1,feature,right,right,1,0.43186599999899045,None,0,0,0,0,0,4,4,1,14.041678400011733,,,,,,,,,,,,,,,,,,,14.02579440001864,14.041678400011733,14.525498900038656,14.589508000004571,14.607975399994757,15.04576420004014,right,1,0.43186599999899045,None,15.045894999988377,15.06126420001965,16.557887600036338,16.557960500009358,16.574184100027196,17.05743280000752,,,,,,,749848,001,2026-04-19_21h34.44.203,midterm_project,,2026.1.1,60.112988379542514,2026-04-19 21h34.44.444940 +0800,
5,5,0,24,1,conjunction,right,left,0,1.2317819999880157,None,0,0,0,0,0,5,5,4,17.073998800013214,,,,,,,,,,,,,,,,,,,17.05773440003395,17.073998800013214,17.557941600040067,17.639925500028767,17.65993210003944,18.900415599986445,left,0,1.2317819999880157,None,18.90063570003258,18.917306800023653,20.407601899991278,20.407699300034437,20.42458859999897,20.90814060001867,,,,,,,749848,001,2026-04-19_21h34.44.203,midterm_project,,2026.1.1,60.112988379542514,2026-04-19 21h34.44.444940 +0800,
0,0,0,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.92030270001851,20.942749799985904,22.906953099998645,749848,001,2026-04-19_21h34.44.203,midterm_project,,2026.1.1,60.112988379542514,2026-04-19 21h34.44.444940 +0800,
0,0,0,12,0,conjunction,left,left,1,0.7480164999724366,None,1,0,1,0,0,0,0,5,22.923545600031503,,,,,,,,,,,,,,,,,22.90719400002854,22.907220699999016,22.91871420003008,22.923545600031503,23.40767159999814,23.467564999999013,23.47902080003405,24.24242740002228,left,1,0.7480164999724366,None,24.242546499997843,24.256466299993917,25.74236169998767,25.74247950001154,25.75694290001411,26.240636400005314,25.75694290001411,26.257034300011583,23.47902080003405,,,,749848,001,2026-04-19_21h34.44.203,midterm_project,,2026.1.1,60.112988379542514,2026-04-19 21h34.44.444940 +0800,
1,1,0,12,0,feature,left,left,1,0.7798173000337556,None,1,0,1,0,0,1,1,2,26.257034300011583,,,,,,,,,,,,,,,,,,,26.24121320003178,26.257034300011583,26.739770199987106,26.760968899994623,26.772853500035126,27.558766400034074,left,1,0.7798173000337556,None,27.55889650003519,27.572414199996274,29.057257500011474,29.057313000026625,29.07242540002335,29.556086700002197,29.07242540002335,29.57222400000319,26.772853500035126,,,,749848,001,2026-04-19_21h34.44.203,midterm_project,,2026.1.1,60.112988379542514,2026-04-19 21h34.44.444940 +0800,
2,2,0,24,1,feature,right,left,0,0.6191339999786578,None,1,0,1,0,0,2,2,1,29.57222400000319,,,,,,,,,,,,,,,,,,,29.556460899999365,29.57222400000319,30.057329300034326,30.116428600042127,30.134771700017154,30.761136399989482,left,0,0.6191339999786578,None,30.761263700027484,30.772974300023634,32.25701480003772,32.257129100034945,32.2727123000077,32.75539210002171,32.2727123000077,32.771818800014444,30.134771700017154,,,,749848,001,2026-04-19_21h34.44.203,midterm_project,,2026.1.1,60.112988379542514,2026-04-19 21h34.44.444940 +0800,
3,3,0,24,1,conjunction,right,left,0,0.7177334000007249,None,1,0,1,0,0,3,3,4,32.771818800014444,,,,,,,,,,,,,,,,,,,32.75564059999306,32.771818800014444,33.255705400020815,33.3293757000356,33.34738520003157,34.07627990003675,left,0,0.7177334000007249,None,34.07640329998685,34.08846790000098,35.57204420003109,35.57208180002635,35.58815810002852,36.07314160000533,35.58815810002852,36.088967100018635,33.34738520003157,,,,749848,001,2026-04-19_21h34.44.203,midterm_project,,2026.1.1,60.112988379542514,2026-04-19 21h34.44.444940 +0800,
