thisN,thisTrialN,thisRepN,set_size,target_present,condition_type,corr_resp,prac_key_resp.keys,prac_key_resp.corr,prac_key_resp.rt,prac_key_resp.duration,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,key_rest.keys,key_rest.rt,key_rest.duration,practice_repeat_loop.thisRepN,practice_repeat_loop.thisTrialN,practice_repeat_loop.thisN,practice_repeat_loop.thisIndex,practice_loop.thisRepN,practice_loop.thisTrialN,practice_loop.thisN,practice_loop.thisIndex,formal_loop.thisRepN,formal_loop.thisTrialN,formal_loop.thisN,formal_loop.thisIndex,thisRow.t,notes,piloting,start.started,open_text.started,start_key.started,start.stopped,start_key.keys,start_key.rt,start_key.duration,instr_practice.started,prac_text.started,prac_key.started,instr_practice.stopped,prac_key.keys,prac_key.rt,prac_key.duration,reset_prac_acc.started,reset_prac_acc.stopped,fixation.started,fix_text.started,fixation.stopped,trial_prac.started,prac_key_resp.started,trial_prac.stopped,practice_loop.prac_key_resp.keys,practice_loop.prac_key_resp.corr,practice_loop.prac_key_resp.rt,practice_loop.prac_key_resp.duration,feedback.started,fb_text.started,feedback.stopped,ITI.started,ITI_text.started,ITI.stopped,fb_text.stopped,ITI_text.stopped,fix_text.stopped,prac_feedback.started,prac_fb_text.started,prac_feedback.stopped,instr_formal.started,formal_text.started,formal_key.started,instr_formal.stopped,formal_key.keys,formal_key.rt,formal_key.duration,trial.started,key_resp.started,trial.stopped,formal_loop.key_resp.keys,formal_loop.key_resp.corr,formal_loop.key_resp.rt,formal_loop.key_resp.duration,rest_routine.started,rest_routine.stopped,formal_loop.key_rest.keys,rest_text.started,key_rest.started,formal_loop.key_rest.rt,formal_loop.key_rest.duration,thanks.started,thanks_text.started,thanks.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0.002913300006184727,0.008877399959601462,0.008877399959601462,1.2684742999845184,space,1.2352948000188917,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,808749,001,2026-04-19_21h42.41.521,midterm_project,,2026.1.1,60.07727139435495,2026-04-19 21h42.41.766365 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.268565199978184,1.2783992000040598,1.2783992000040598,2.259814999997616,space,0.9664790999959223,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,808749,001,2026-04-19_21h42.41.521,midterm_project,,2026.1.1,60.07727139435495,2026-04-19 21h42.41.766365 +0800,
0,0,0,12,0,feature,left,left,1,0.7508038000087254,None,,,,,,,,0,0,0,0,0,0,0,2,,,,,2.322395199968014,,,,,,,,,,,,,,,,,2.2615583000006154,2.261591399961617,2.277884899987839,2.322395199968014,2.7758931000134908,2.8176379000069574,2.8309868999640457,3.596095699991565,left,1,0.7508038000087254,None,3.5962807000032626,3.6186441999743693,5.1088027000078,5.108867899980396,5.1251884999801405,5.6088407000061125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,808749,001,2026-04-19_21h42.41.521,midterm_project,,2026.1.1,60.07727139435495,2026-04-19 21h42.41.766365 +0800,
1,1,0,24,1,conjunction,right,right,1,0.7090979000204243,None,,,,,,,,0,0,0,0,0,1,1,4,,,,,5.62539060000563,,,,,,,,,,,,,,,,,,,5.609449699986726,5.62539060000563,6.108463599986862,6.191548899980262,6.210120500007179,6.928060500009451,right,1,0.7090979000204243,None,6.9281532999593765,6.941292900010012,8.425571799976751,8.425641399982851,8.44089669996174,8.925323500006925,8.44089669996174,8.941281799983699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,808749,001,2026-04-19_21h42.41.521,midterm_project,,2026.1.1,60.07727139435495,2026-04-19 21h42.41.766365 +0800,
2,2,0,4,1,conjunction,right,left,0,0.9106850000098348,None,,,,,,,,0,0,0,0,0,2,2,3,,,,,8.941281799983699,,,,,,,,,,,,,,,,,,,8.925953199970536,8.941281799983699,9.42467779997969,9.439817400008906,9.447130399988964,10.361230999988038,left,0,0.9106850000098348,None,10.36146290000761,10.37835690000793,11.874526800005697,11.874607699981425,11.890800499997567,12.375278599967714,,,9.447130399988964,,,,,,,,,,,,,,,,,,,,,,,,,,,,808749,001,2026-04-19_21h42.41.521,midterm_project,,2026.1.1,60.07727139435495,2026-04-19 21h42.41.766365 +0800,
3,3,0,4,1,feature,right,left,0,0.6675980999716558,None,,,,,,,,0,0,0,0,0,3,3,0,,,,,12.391170999966562,,,,,,,,,,,,,,,,,,,12.376207299996167,12.391170999966562,12.874833600013517,12.892698300012853,12.900922900007572,13.575387599994428,left,0,0.6675980999716558,None,13.575536399963312,13.59574859996792,15.09044719999656,15.090560399985407,15.107109199976549,15.58994839998195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,808749,001,2026-04-19_21h42.41.521,midterm_project,,2026.1.1,60.07727139435495,2026-04-19 21h42.41.766365 +0800,
4,4,0,24,1,feature,right,left,0,1.0094505000161007,None,,,,,,,,0,0,0,0,0,4,4,1,,,,,15.606450599967502,,,,,,,,,,,,,,,,,,,15.590204500011168,15.606450599967502,16.090590899984818,16.140608499990776,16.158885399985593,17.177092999976594,left,0,1.0094505000161007,None,17.177194999996573,17.191476000007242,18.690540399984457,18.690625299990643,18.706694199994672,19.1906055000145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,808749,001,2026-04-19_21h42.41.521,midterm_project,,2026.1.1,60.07727139435495,2026-04-19 21h42.41.766365 +0800,
5,5,0,12,0,conjunction,left,left,1,1.2467834000126459,None,,,,,,,,0,0,0,0,0,5,5,5,,,,,19.206695100001525,,,,,,,,,,,,,,,,,,,19.191182399983518,19.206695100001525,19.69043449999299,19.74729699996533,19.759275599964894,21.00864819996059,left,1,1.2467834000126459,None,21.008755299961194,21.02460299996892,22.52323210000759,22.523363000014797,22.53917740000179,23.023582499998156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,808749,001,2026-04-19_21h42.41.521,midterm_project,,2026.1.1,60.07727139435495,2026-04-19 21h42.41.766365 +0800,
0,0,0,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.03754970000591,23.06346829998074,25.023181599972304,,,,,,,,,,,,,,,,,,,,,,,,,808749,001,2026-04-19_21h42.41.521,midterm_project,,2026.1.1,60.07727139435495,2026-04-19 21h42.41.766365 +0800,
0,0,0,12,0,conjunction,left,right,0,1.3302419999963604,None,,,,,,,,1,0,1,0,0,0,0,5,,,,,25.048468599969056,,,,,,,,,,,,,,,,,25.023752700013574,25.02380839997204,25.04425400000764,25.048468599969056,25.540399199991953,25.592110199970193,25.60331589996349,26.94580559997121,right,0,1.3302419999963604,None,26.94599490001565,26.962198499997612,28.455561999988277,28.45564249996096,28.47196419996908,28.95535900001414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,808749,001,2026-04-19_21h42.41.521,midterm_project,,2026.1.1,60.07727139435495,2026-04-19 21h42.41.766365 +0800,
1,1,0,24,1,feature,right,right,1,1.025673399970401,None,,,,,,,,1,0,1,0,0,1,1,1,,,,,28.97168169997167,,,,,,,,,,,,,,,,,,,28.955749799963087,28.97168169997167,29.455366000009235,29.51247269997839,29.5308248999645,30.560089999984484,right,1,1.025673399970401,None,30.560218299971893,30.576153700007126,32.07204769999953,32.072166999976616,32.088297299982514,32.5717103999923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,808749,001,2026-04-19_21h42.41.521,midterm_project,,2026.1.1,60.07727139435495,2026-04-19 21h42.41.766365 +0800,
