set_size,target_present,condition_type,corr_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,practice_loop.thisRepN,practice_loop.thisTrialN,practice_loop.thisN,practice_loop.thisIndex,formal_loop.thisRepN,formal_loop.thisTrialN,formal_loop.thisN,formal_loop.thisIndex,thisRow.t,notes,piloting,start.started,open_text.started,start_key.started,start.stopped,start_key.keys,start_key.rt,start_key.duration,instr_practice.started,prac_text.started,prac_key.started,instr_practice.stopped,prac_key.keys,prac_key.rt,prac_key.duration,fixation.started,fix_text.started,fixation.stopped,trial.started,key_resp.started,trial.stopped,practice_loop.key_resp.keys,practice_loop.key_resp.corr,feedback.started,fb_text.started,feedback.stopped,practice_loop.key_resp.rt,practice_loop.key_resp.duration,instr_formal.started,formal_text.started,formal_key.started,instr_formal.stopped,formal_key.keys,formal_key.rt,formal_key.duration,formal_loop.key_resp.keys,formal_loop.key_resp.corr,formal_loop.key_resp.rt,formal_loop.key_resp.duration,fix_text.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,True,0.019955999974627048,0.0341482000076212,0.0341482000076212,2.291959499998484,space,2.2220912000047974,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-04-15_11h26.17.108,midterm_project,,2026.1.1,60.26038511445444,2026-04-15 11h26.17.381845 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2920172999729402,2.3004406999680214,2.3004406999680214,2.671296199958306,space,0.3682149000233039,None,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-04-15_11h26.17.108,midterm_project,,2026.1.1,60.26038511445444,2026-04-15 11h26.17.381845 +0800,
4,1,conjunction,right,0,0,0,None,0,,,0,0,0,3,,,,,2.70050999999512,,,,,,,,,,,,,,,,,2.6906642999965698,2.70050999999512,3.1877190999803133,3.2447540999855846,3.2670483000110835,5.1727249000105076,None,0,5.172822599997744,5.199298499966972,6.687913200003095,,,,,,,,,,,,,,,pilot,001,2026-04-15_11h26.17.108,midterm_project,,2026.1.1,60.26038511445444,2026-04-15 11h26.17.381845 +0800,
12,0,feature,left,1,1,0,None,0,,,0,1,1,2,,,,,6.701098699995782,,,,,,,,,,,,,,,,,6.68813450000016,6.701098699995782,7.187571799964644,7.207309799967334,7.233000500011258,9.188168999971822,None,0,9.188245599973015,9.200284099963028,10.671843799995258,,,,,,,,,,,,,,,pilot,001,2026-04-15_11h26.17.108,midterm_project,,2026.1.1,60.26038511445444,2026-04-15 11h26.17.381845 +0800,
24,1,feature,right,2,2,0,right,1,1.1320528999785893,None,0,2,2,1,,,,,10.684768499981146,,,,,,,,,,,,,,,,,10.672056799987331,10.684768499981146,11.17213709995849,11.217886099999305,11.249559599964414,12.388903799990658,right,1,12.388978999981191,12.415467499988154,13.903227999981027,1.1320528999785893,None,,,,,,,,,,,,,pilot,001,2026-04-15_11h26.17.108,midterm_project,,2026.1.1,60.26038511445444,2026-04-15 11h26.17.381845 +0800,
4,1,feature,right,3,3,0,right,1,1.6113322000019252,None,0,3,3,0,,,,,13.91672739997739,,,,,,,,,,,,,,,,,13.903438200009987,13.91672739997739,14.406227800005581,14.418207700015046,14.432450299966149,16.053440499992575,right,1,16.053516899992246,16.081345699960366,17.55424620001577,1.6113322000019252,None,,,,,,,,,,,,,pilot,001,2026-04-15_11h26.17.108,midterm_project,,2026.1.1,60.26038511445444,2026-04-15 11h26.17.381845 +0800,
24,1,conjunction,right,4,4,0,right,1,1.5788419999880716,None,0,4,4,4,,,,,17.566207199997734,,,,,,,,,,,,,,,,,17.554490100010298,17.566207199997734,18.054481700004544,18.12995689996751,18.165270199999213,19.753689799981657,right,1,19.753752999997232,19.78126889996929,21.268593599961605,1.5788419999880716,None,,,,,,,,,,,,,pilot,001,2026-04-15_11h26.17.108,midterm_project,,2026.1.1,60.26038511445444,2026-04-15 11h26.17.381845 +0800,
12,0,conjunction,left,5,5,0,left,1,1.242286900000181,None,0,5,5,5,,,,,21.282194699975662,,,,,,,,,,,,,,,,,21.268757799989544,21.282194699975662,21.769174899964128,21.802515899995342,21.81460410001455,23.06960970000364,left,1,23.06968479999341,23.09709399996791,24.586526500002947,1.242286900000181,None,,,,,,,,,,,,,pilot,001,2026-04-15_11h26.17.108,midterm_project,,2026.1.1,60.26038511445444,2026-04-15 11h26.17.381845 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.58665499999188,24.59929220000049,24.59929220000049,37.2496902999701,space,12.644255399995018,None,,,,,,pilot,001,2026-04-15_11h26.17.108,midterm_project,,2026.1.1,60.26038511445444,2026-04-15 11h26.17.381845 +0800,
4,0,feature,left,0,0,0,left,1,0.7787935999804176,None,,,,,0,0,0,27,37.34540419996483,,,,,,,,,,,,,,,,,37.33823689998826,37.34540419996483,37.751092299993616,37.76032820000546,37.779224600002635,38.58541120000882,,,,,,,,,,,,,,,left,1,0.7787935999804176,None,,pilot,001,2026-04-15_11h26.17.108,midterm_project,,2026.1.1,60.26038511445444,2026-04-15 11h26.17.381845 +0800,
