set_size,target_present,condition_type,corr_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,practice_loop.thisRepN,practice_loop.thisTrialN,practice_loop.thisN,practice_loop.thisIndex,formal_loop.thisRepN,formal_loop.thisTrialN,formal_loop.thisN,formal_loop.thisIndex,thisRow.t,notes,piloting,start.started,open_text.started,start_key.started,start.stopped,start_key.keys,start_key.rt,start_key.duration,instr_practice.started,prac_text.started,prac_key.started,instr_practice.stopped,prac_key.keys,prac_key.rt,prac_key.duration,fixation.started,fix_text.started,fixation.stopped,trial.started,key_resp.started,trial.stopped,practice_loop.key_resp.keys,practice_loop.key_resp.corr,practice_loop.key_resp.rt,practice_loop.key_resp.duration,feedback.started,fb_text.started,feedback.stopped,fb_text.stopped,instr_formal.started,formal_text.started,formal_key.started,instr_formal.stopped,formal_key.keys,formal_key.rt,formal_key.duration,formal_loop.key_resp.keys,formal_loop.key_resp.corr,formal_loop.key_resp.rt,formal_loop.key_resp.duration,fix_text.stopped,thanks.started,thanks_text.started,thanks.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,True,0.02354989998275414,0.037393499980680645,0.037393499980680645,2.428015499957837,space,2.379019599989988,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-04-15_11h40.16.202,midterm_project,,2026.1.1,60.06254913948419,2026-04-15 11h40.16.438966 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4280657999916,2.4375393000082113,2.4375393000082113,3.473920999967959,space,1.0297259000362828,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-04-15_11h40.16.202,midterm_project,,2026.1.1,60.06254913948419,2026-04-15 11h40.16.438966 +0800,
24,1,conjunction,right,0,0,0,right,1,1.3835278999758884,None,0,0,0,4,,,,,3.503412699967157,,,,,,,,,,,,,,,,,3.48378439998487,3.503412699967157,3.975651499989908,4.047569099988323,4.070781399961561,5.459553099994082,right,1,1.3835278999758884,None,5.459616899956018,5.486747899965849,6.974330299999565,,,,,,,,,,,,,,,,,pilot,001,2026-04-15_11h40.16.202,midterm_project,,2026.1.1,60.06254913948419,2026-04-15 11h40.16.438966 +0800,
12,0,conjunction,left,1,1,0,left,1,1.2805881999665871,None,0,1,1,5,,,,,6.987003899994306,,,,,,,,,,,,,,,,,6.974537700007204,6.987003899994306,7.473685699980706,7.50911789998645,7.53618249995634,8.825412000005599,left,1,1.2805881999665871,None,8.825498999969568,8.83691589999944,10.324414799979422,10.336579499999061,,,,,,,,,,,,,,,,pilot,001,2026-04-15_11h40.16.202,midterm_project,,2026.1.1,60.06254913948419,2026-04-15 11h40.16.438966 +0800,
4,1,conjunction,right,2,2,0,right,1,1.1892748000100255,None,0,2,2,3,,,,,10.336579499999061,,,,,,,,,,,,,,,,,10.324561099987477,10.336579499999061,10.825831299996935,10.842141699977219,10.852537299972028,12.056661999959033,right,1,1.1892748000100255,None,12.056734499987215,12.069019499991555,13.556458999984898,13.56972799997311,,,,,,,,,,,,,,,,pilot,001,2026-04-15_11h40.16.202,midterm_project,,2026.1.1,60.06254913948419,2026-04-15 11h40.16.438966 +0800,
24,1,feature,right,3,3,0,left,0,1.2061825999990106,None,0,3,3,1,,,,,13.56972799997311,,,,,,,,,,,,,,,,,13.556639699963853,13.56972799997311,14.058403700008057,14.109397499996703,14.134701700008009,15.357859199983068,left,0,1.2061825999990106,None,15.35792219999712,15.386370799969882,16.872952500008978,,,,,,,,,,,,,,,,,pilot,001,2026-04-15_11h40.16.202,midterm_project,,2026.1.1,60.06254913948419,2026-04-15 11h40.16.438966 +0800,
4,1,feature,right,4,4,0,right,1,1.344909200037364,None,0,4,4,0,,,,,16.88600249995943,,,,,,,,,,,,,,,,,16.873126799997408,16.88600249995943,17.359331499959808,17.36920039996039,17.38509170000907,18.739489900006447,right,1,1.344909200037364,None,18.73956899996847,18.767206999997143,20.255911199958064,,,,,,,,,,,,,,,,,pilot,001,2026-04-15_11h40.16.202,midterm_project,,2026.1.1,60.06254913948419,2026-04-15 11h40.16.438966 +0800,
12,0,feature,left,5,5,0,None,0,,,0,5,5,2,,,,,20.268986799987033,,,,,,,,,,,,,,,,,20.25612259999616,20.268986799987033,20.754976700001862,20.772608699975535,20.801476900000125,22.75500639999518,None,0,,,22.75506499997573,22.767426899983548,24.254151300003286,,,,,,,,,,,,,,,,,pilot,001,2026-04-15_11h40.16.202,midterm_project,,2026.1.1,60.06254913948419,2026-04-15 11h40.16.438966 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.254252599959727,24.26835349999601,24.26835349999601,28.572980400000233,space,4.299307500012219,None,,,,,,,,,pilot,001,2026-04-15_11h40.16.202,midterm_project,,2026.1.1,60.06254913948419,2026-04-15 11h40.16.438966 +0800,
4,0,conjunction,left,0,0,0,None,0,,,,,,,0,0,0,33,28.600261499988846,,,,,,,,,,,,,,,,,28.58625419996679,28.600261499988846,29.087774499959778,29.101457899960224,29.116300099994987,31.087850000010803,,,,,,,,,,,,,,,,None,0,,,,,,,pilot,001,2026-04-15_11h40.16.202,midterm_project,,2026.1.1,60.06254913948419,2026-04-15 11h40.16.438966 +0800,
