set_size,target_present,condition_type,corr_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,practice_loop.thisRepN,practice_loop.thisTrialN,practice_loop.thisN,practice_loop.thisIndex,formal_loop.thisRepN,formal_loop.thisTrialN,formal_loop.thisN,formal_loop.thisIndex,thisRow.t,notes,piloting,start.started,open_text.started,start_key.started,start.stopped,start_key.keys,start_key.rt,start_key.duration,instr_practice.started,prac_text.started,prac_key.started,instr_practice.stopped,prac_key.keys,prac_key.rt,prac_key.duration,fixation.started,fix_text.started,fixation.stopped,trial.started,key_resp.started,trial.stopped,practice_loop.key_resp.keys,practice_loop.key_resp.corr,practice_loop.key_resp.rt,practice_loop.key_resp.duration,feedback.started,fb_text.started,feedback.stopped,ITI.started,ITI_text.started,ITI.stopped,fb_text.stopped,ITI_text.stopped,fix_text.stopped,instr_formal.started,formal_text.started,formal_key.started,instr_formal.stopped,formal_key.keys,formal_key.rt,formal_key.duration,formal_loop.key_resp.keys,formal_loop.key_resp.corr,formal_loop.key_resp.rt,formal_loop.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,True,0.010497199953533709,0.02565849997336045,0.02565849997336045,1.886139199952595,space,1.8517977999872528,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-04-15_20h33.03.132,midterm_project,,2026.1.1,60.19675913948547,2026-04-15 20h33.03.358380 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.886199200002011,1.9080960999708623,1.9080960999708623,3.445235099992715,space,1.5316821000305936,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-04-15_20h33.03.132,midterm_project,,2026.1.1,60.19675913948547,2026-04-15 20h33.03.358380 +0800,
4,1,conjunction,right,0,0,0,right,1,1.1784942999947816,None,0,0,0,3,,,,,3.474325699964538,,,,,,,,,,,,,,,,,3.454301599995233,3.474325699964538,3.9455161999794655,3.960824599955231,3.9737976999604143,5.161427399958484,right,1,1.1784942999947816,None,5.161485599994194,5.173492699977942,6.662801700003911,6.662844499980565,6.674895600008313,7.161993999965489,,,,,,,,,,,,,,,pilot,001,2026-04-15_20h33.03.132,midterm_project,,2026.1.1,60.19675913948547,2026-04-15 20h33.03.358380 +0800,
24,1,feature,right,1,1,0,right,1,1.3028264000313357,None,0,1,1,1,,,,,7.174620899953879,,,,,,,,,,,,,,,,,7.162172399985138,7.174620899953879,7.661563300003763,7.702736200008076,7.723864200001117,9.02975059999153,right,1,1.3028264000313357,None,9.029811899992637,9.039836199954152,10.527532599982806,10.52756399998907,10.540885799971875,11.026967599987984,10.540885799971875,11.041324999998324,,,,,,,,,,,,,pilot,001,2026-04-15_20h33.03.132,midterm_project,,2026.1.1,60.19675913948547,2026-04-15 20h33.03.358380 +0800,
12,0,feature,left,2,2,0,None,0,,,0,2,2,2,,,,,11.041324999998324,,,,,,,,,,,,,,,,,11.027095599973109,11.041324999998324,11.526735799969174,11.545584499952383,11.590323399985209,13.544101899955422,None,0,,,13.544168599997647,13.57172469998477,15.044063799956348,15.04409779998241,15.056748499977402,15.547444799973164,,,11.590323399985209,,,,,,,,,,,,pilot,001,2026-04-15_20h33.03.132,midterm_project,,2026.1.1,60.19675913948547,2026-04-15 20h33.03.358380 +0800,
24,1,conjunction,right,3,3,0,None,0,,,0,3,3,4,,,,,15.557017899991479,,,,,,,,,,,,,,,,,15.547658299969044,15.557017899991479,16.045866700005718,16.109387999982573,16.139259799965657,18.043437199958134,None,0,,,18.04349099996034,18.056604599987622,19.544123900006525,19.544171899964567,19.55667610000819,20.043782599968836,,,,,,,,,,,,,,,pilot,001,2026-04-15_20h33.03.132,midterm_project,,2026.1.1,60.19675913948547,2026-04-15 20h33.03.358380 +0800,
12,0,conjunction,left,4,4,0,right,0,0.3980562000069767,None,0,4,4,5,,,,,20.056306199985556,,,,,,,,,,,,,,,,,20.043936799978837,20.056306199985556,20.542745199985802,20.576590499957092,20.6050847999868,21.013204399961978,right,0,0.3980562000069767,None,21.013289399968926,21.03826979995938,22.5258984999964,22.525937400001567,22.539411299978383,23.028607599961106,,,,,,,,,,,,,,,pilot,001,2026-04-15_20h33.03.132,midterm_project,,2026.1.1,60.19675913948547,2026-04-15 20h33.03.358380 +0800,
4,1,feature,right,5,5,0,right,1,1.1221133000217378,None,0,5,5,0,,,,,23.041703399969265,,,,,,,,,,,,,,,,,23.028889799956232,23.041703399969265,23.5262381999637,23.533951899968088,23.555491100007202,24.692979399987962,right,1,1.1221133000217378,None,24.69304549996741,24.70534809998935,26.19258329999866,26.1926175999688,26.205267199955415,26.691960799973458,26.205267199955415,26.705268799967598,,,,,,,,,,,,,pilot,001,2026-04-15_20h33.03.132,midterm_project,,2026.1.1,60.19675913948547,2026-04-15 20h33.03.358380 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.692051899968646,26.705268799967598,26.705268799967598,32.442582999996375,space,5.734654899977613,None,,,,,pilot,001,2026-04-15_20h33.03.132,midterm_project,,2026.1.1,60.19675913948547,2026-04-15 20h33.03.358380 +0800,
4,0,feature,left,0,0,0,left,1,1.340714999998454,None,,,,,0,0,0,15,32.47059539996553,,,,,,,,,,,,,,,,,32.452068499987945,32.47059539996553,32.958326099964324,32.96775680000428,32.98687259998405,34.340252199966926,,,,,,,,34.34031549998326,34.35447789996397,34.84126409998862,,,,,,,,,,,left,1,1.340714999998454,None,pilot,001,2026-04-15_20h33.03.132,midterm_project,,2026.1.1,60.19675913948547,2026-04-15 20h33.03.358380 +0800,
