set_size,target_present,condition_type,corr_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,practice_loop.thisRepN,practice_loop.thisTrialN,practice_loop.thisN,practice_loop.thisIndex,formal_loop.thisRepN,formal_loop.thisTrialN,formal_loop.thisN,formal_loop.thisIndex,thisRow.t,notes,piloting,start.started,open_text.started,start_key.started,start.stopped,start_key.keys,start_key.rt,start_key.duration,instr_practice.started,prac_text.started,prac_key.started,instr_practice.stopped,prac_key.keys,prac_key.rt,prac_key.duration,fixation.started,fix_text.started,fixation.stopped,trial.started,key_resp.started,trial.stopped,practice_loop.key_resp.keys,practice_loop.key_resp.corr,practice_loop.key_resp.rt,practice_loop.key_resp.duration,feedback.started,fb_text.started,feedback.stopped,ITI.started,ITI_text.started,ITI.stopped,fb_text.stopped,fix_text.stopped,instr_formal.started,formal_text.started,formal_key.started,instr_formal.stopped,formal_key.keys,formal_key.rt,formal_key.duration,formal_loop.key_resp.keys,formal_loop.key_resp.corr,formal_loop.key_resp.rt,formal_loop.key_resp.duration,ITI_text.stopped,thanks.started,thanks_text.started,thanks.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,True,0.01800599996931851,0.03313489997526631,0.03313489997526631,1.4080522999865934,space,1.3687540999962948,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-04-15_20h39.15.548,midterm_project,,2026.1.1,60.2493116421647,2026-04-15 20h39.15.791712 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4081009000074118,1.4168482999666594,1.4168482999666594,2.387663399975281,space,0.9601972000091337,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-04-15_20h39.15.548,midterm_project,,2026.1.1,60.2493116421647,2026-04-15 20h39.15.791712 +0800,
24,1,conjunction,right,0,0,0,right,1,1.3689440000453033,None,0,0,0,4,,,,,2.4159694999689236,,,,,,,,,,,,,,,,,2.3981308999937028,2.4159694999689236,2.8879874999984168,2.9565195000031963,2.982784599997103,4.356518800021149,right,1,1.3689440000453033,None,4.356591499992646,4.3816063000122085,5.870318899978884,5.870352700003423,5.884055399976205,6.370556599984411,,,,,,,,,,,,,,,,,,pilot,001,2026-04-15_20h39.15.548,midterm_project,,2026.1.1,60.2493116421647,2026-04-15 20h39.15.791712 +0800,
12,0,conjunction,left,1,1,0,None,0,,,0,1,1,5,,,,,6.38286519999383,,,,,,,,,,,,,,,,,6.370762899983674,6.38286519999383,6.86954300000798,6.9039169999887235,6.932118900003843,8.871159299975261,None,0,,,8.871231299999636,8.89849479997065,10.370136299985461,10.370182799990289,10.383530599996448,10.87152009998681,,,,,,,,,,,,,,,,,,pilot,001,2026-04-15_20h39.15.548,midterm_project,,2026.1.1,60.2493116421647,2026-04-15 20h39.15.791712 +0800,
12,0,feature,left,2,2,0,right,0,1.361976699961815,None,0,2,2,2,,,,,10.88458690000698,,,,,,,,,,,,,,,,,10.871791500016116,10.88458690000698,11.369706099969335,11.396057999983896,11.414977199980058,12.787176100013312,right,0,1.361976699961815,None,12.787256899988279,12.798975599987898,14.286087899992708,14.28612379997503,14.29855680000037,14.787985600007232,14.29855680000037,,,,,,,,,,,,,,,,,pilot,001,2026-04-15_20h39.15.548,midterm_project,,2026.1.1,60.2493116421647,2026-04-15 20h39.15.791712 +0800,
4,1,conjunction,right,3,3,0,left,0,0.8884849000023678,None,0,3,3,3,,,,,14.799177000008058,,,,,,,,,,,,,,,,,14.788225499971304,14.799177000008058,15.285035100008827,15.29456010001013,15.31387499999255,16.204634799971245,left,0,0.8884849000023678,None,16.204725400020834,16.230161399987992,17.72021910001058,17.720276099978946,17.73220460000448,18.219922000018414,,15.31387499999255,,,,,,,,,,,,,,,,pilot,001,2026-04-15_20h39.15.548,midterm_project,,2026.1.1,60.2493116421647,2026-04-15 20h39.15.791712 +0800,
24,1,feature,right,4,4,0,left,0,1.0713024999713525,None,0,4,4,1,,,,,18.23213159997249,,,,,,,,,,,,,,,,,18.220179500000086,18.23213159997249,18.718874600017443,18.755340299976524,18.78095519996714,19.852946200000588,left,0,1.0713024999713525,None,19.85301309998613,19.879264499992132,21.367535099969245,21.367577600001823,21.380957200017292,21.868060900014825,,,,,,,,,,,,,,,,,,pilot,001,2026-04-15_20h39.15.548,midterm_project,,2026.1.1,60.2493116421647,2026-04-15 20h39.15.791712 +0800,
4,1,feature,right,5,5,0,left,0,1.4545587000320666,None,0,5,5,0,,,,,21.88112929998897,,,,,,,,,,,,,,,,,21.868275200016797,21.88112929998897,22.367872899980284,22.375496499997098,22.39687599998433,23.866744500002824,left,0,1.4545587000320666,None,23.86683209997136,23.87991640000837,25.367030099965632,25.36706449999474,25.380217299971264,25.869293799973093,25.380217299971264,,,,,,,,,,,,,,,,,pilot,001,2026-04-15_20h39.15.548,midterm_project,,2026.1.1,60.2493116421647,2026-04-15 20h39.15.791712 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.86942820000695,25.88069279998308,25.88069279998308,26.867438299988862,space,0.9716682999860495,None,,,,,,,,,pilot,001,2026-04-15_20h39.15.548,midterm_project,,2026.1.1,60.2493116421647,2026-04-15 20h39.15.791712 +0800,
24,0,feature,left,0,0,0,left,1,1.3603581999777816,None,,,,,0,0,0,29,26.895973699982278,,,,,,,,,,,,,,,,,26.87896100000944,26.895973699982278,27.367750799981877,27.4061464999686,27.429610399995,28.802982399996836,,,,,,,,28.803051299997605,28.813469199987594,29.30008239997551,,,,,,,,,,left,1,1.3603581999777816,None,29.313318500004243,,,,pilot,001,2026-04-15_20h39.15.548,midterm_project,,2026.1.1,60.2493116421647,2026-04-15 20h39.15.791712 +0800,
