thisN,thisTrialN,thisRepN,set_size,target_present,condition_type,corr_resp,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,practice_repeat_loop.thisRepN,practice_repeat_loop.thisTrialN,practice_repeat_loop.thisN,practice_repeat_loop.thisIndex,practice_loop.thisRepN,practice_loop.thisTrialN,practice_loop.thisN,practice_loop.thisIndex,thisRow.t,notes,piloting,start.started,open_text.started,start_key.started,start.stopped,start_key.keys,start_key.rt,start_key.duration,instr_practice.started,prac_text.started,prac_key.started,instr_practice.stopped,prac_key.keys,prac_key.rt,prac_key.duration,reset_prac_acc.started,reset_prac_acc.stopped,fixation.started,fix_text.started,fix_text.stopped,fixation.stopped,trial.started,key_resp.started,trial.stopped,practice_loop.key_resp.keys,practice_loop.key_resp.corr,practice_loop.key_resp.rt,practice_loop.key_resp.duration,feedback.started,fb_text.started,feedback.stopped,ITI.started,ITI_text.started,ITI.stopped,fb_text.stopped,ITI_text.stopped,prac_feedback.started,prac_fb_text.started,prac_feedback.stopped,instr_formal.started,formal_text.started,formal_key.started,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,True,0.02046410000184551,0.03476170002250001,0.03476170002250001,2.8257883000187576,space,2.7775719999917783,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-04-19_10h37.43.003,midterm_project,,2026.1.1,59.822423132009305,2026-04-19 10h37.43.252175 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.825838500051759,2.8350475000333972,2.8350475000333972,4.174578400037717,space,1.3283658000291325,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-04-19_10h37.43.003,midterm_project,,2026.1.1,59.822423132009305,2026-04-19 10h37.43.252175 +0800,
0,0,0,12,0,conjunction,left,left,1,1.23691640002653,None,0,0,0,0,0,0,0,5,4.201178300019819,,,,,,,,,,,,,,,,,4.191355800023302,4.1913785000215285,4.1914041000418365,4.201178300019819,4.750866500020493,4.688899300002959,4.724696000048425,4.750866500020493,5.990187100018375,left,1,1.23691640002653,None,5.990263400017284,6.016349300043657,7.504614600038622,7.504653800046071,7.51887860003626,8.006932999996934,,,,,,,,,pilot,001,2026-04-19_10h37.43.003,midterm_project,,2026.1.1,59.822423132009305,2026-04-19 10h37.43.252175 +0800,
1,1,0,24,1,conjunction,right,right,1,0.6618166000116616,None,0,0,0,0,0,1,1,4,8.019101200043224,,,,,,,,,,,,,,,,,8.007217600010335,8.007244000036735,8.007279200013727,8.019101200043224,8.600496500032023,8.50406450004084,8.564243500004523,8.600496500032023,9.272273600043263,right,1,0.6618166000116616,None,9.272341000032611,9.283269900013693,10.770931500010192,10.770964200026356,10.784335300035309,11.27113740000641,10.784335300035309,11.284707500017248,,,,,,,pilot,001,2026-04-19_10h37.43.003,midterm_project,,2026.1.1,59.822423132009305,2026-04-19 10h37.43.252175 +0800,
2,2,0,12,0,feature,left,left,1,0.8474342999979854,None,0,0,0,0,0,2,2,2,11.284707500017248,,,,,,,,,,,,,,,,,11.271316100028343,11.271332600037567,11.27135640004417,11.284707500017248,11.817176600045059,11.770745500049088,11.789889000006951,11.817176600045059,12.674559000006411,left,1,0.8474342999979854,None,12.67467050004052,12.698871400032658,14.186506600002758,14.186541400034912,14.200587500003166,14.687907200015616,,,,,,,,,pilot,001,2026-04-19_10h37.43.003,midterm_project,,2026.1.1,59.822423132009305,2026-04-19 10h37.43.252175 +0800,
3,3,0,4,1,feature,right,left,0,0.7350256000063382,None,0,0,0,0,0,3,3,0,14.700778900005389,,,,,,,,,,,,,,,,,14.688138000026811,14.688159600016661,14.688190300017595,14.700778900005389,15.21638100000564,15.187437100044917,15.194649300014134,15.21638100000564,15.955031100020278,left,0,0.7350256000063382,None,15.955120200000238,15.983065000036731,17.469959000009112,17.47000160004245,17.483322800020687,17.970157700008713,,,,,,,,,pilot,001,2026-04-19_10h37.43.003,midterm_project,,2026.1.1,59.822423132009305,2026-04-19 10h37.43.252175 +0800,
4,4,0,4,1,conjunction,right,left,0,0.6107007999671623,None,0,0,0,0,0,4,4,3,17.984154900012072,,,,,,,,,,,,,,,,,17.97035620000679,17.970374000025913,17.970399100042414,17.984154900012072,,18.486781500047073,18.49607950000791,18.51543860003585,19.136982500029262,left,0,0.6107007999671623,None,19.13706070004264,19.149871000030544,20.63721490005264,20.63725660002092,20.6500755000161,21.137219100026414,20.6500755000161,,,,,,,,pilot,001,2026-04-19_10h37.43.003,midterm_project,,2026.1.1,59.822423132009305,2026-04-19 10h37.43.252175 +0800,
5,5,0,24,1,feature,right,left,0,0.6599751999601722,None,0,0,0,0,0,5,5,1,21.14975510002114,,,,,,,,,,,,,,,,,21.137450200039893,21.137471400026698,21.13750120002078,21.14975510002114,,21.638277799997013,21.682241500006057,21.715370400052052,22.387584200012498,left,0,0.6599751999601722,None,22.387647600029595,22.41441060003126,23.90307900001062,23.903126700024586,23.915865200047847,24.402990000031423,,,,,,,,,pilot,001,2026-04-19_10h37.43.003,midterm_project,,2026.1.1,59.822423132009305,2026-04-19 10h37.43.252175 +0800,
0,0,0,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.40798330004327,24.430903500004206,26.387984600034542,,,,pilot,001,2026-04-19_10h37.43.003,midterm_project,,2026.1.1,59.822423132009305,2026-04-19 10h37.43.252175 +0800,
0,0,0,12,0,feature,left,left,1,0.952387599973008,None,1,0,1,0,0,0,0,2,26.414719399996102,,,,,,,,,,,,,,,,,26.399703000031877,26.399729199998546,26.39976200001547,26.414719399996102,,26.901741600013338,26.91992080002092,26.94813970004907,27.902941300009843,left,1,0.952387599973008,None,27.903018400014844,27.914313600049354,29.402061000000685,29.402113000047393,29.415275800041854,29.901387799996883,29.415275800041854,29.91508210002212,,,,,,,pilot,001,2026-04-19_10h37.43.003,midterm_project,,2026.1.1,59.822423132009305,2026-04-19 10h37.43.252175 +0800,
