thisN,thisTrialN,thisRepN,set_size,target_present,condition_type,corr_resp,prac_key_resp.keys,prac_key_resp.rt,prac_key_resp.duration,practice_repeat_loop.thisRepN,practice_repeat_loop.thisTrialN,practice_repeat_loop.thisN,practice_repeat_loop.thisIndex,practice_loop.thisRepN,practice_loop.thisTrialN,practice_loop.thisN,practice_loop.thisIndex,thisRow.t,notes,piloting,start.started,open_text.started,start_key.started,start.stopped,start_key.keys,start_key.rt,start_key.duration,instr_practice.started,prac_text.started,prac_key.started,instr_practice.stopped,prac_key.keys,prac_key.rt,prac_key.duration,reset_prac_acc.started,reset_prac_acc.stopped,fixation.started,fix_text.started,fixation.stopped,trial_prac.started,prac_key_resp.started,trial_prac.stopped,practice_loop.prac_key_resp.keys,practice_loop.prac_key_resp.rt,practice_loop.prac_key_resp.duration,feedback.started,fb_text.started,feedback.stopped,ITI.started,ITI_text.started,ITI.stopped,fix_text.stopped,fb_text.stopped,ITI_text.stopped,prac_feedback.started,prac_fb_text.started,prac_feedback.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,True,0.021388099994510412,0.03570080001372844,0.03570080001372844,1.4489786000340246,space,1.3960450000013225,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-04-19_11h12.27.201,midterm_project,,2026.1.1,60.08777622734629,2026-04-19 11h12.27.429905 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4490617000265047,1.469325400015805,1.469325400015805,1.8918742000241764,space,0.41289719997439533,None,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-04-19_11h12.27.201,midterm_project,,2026.1.1,60.08777622734629,2026-04-19 11h12.27.429905 +0800,
0,0,0,12,0,feature,left,left,0.7419460999662988,None,0,0,0,0,0,0,0,2,1.9185934999841265,,,,,,,,,,,,,,,,,1.906548400002066,1.9065697999903932,1.9065953000099398,1.9185934999841265,2.4105109000229277,2.4388516999897547,2.4519680999801494,3.2075234000221826,left,0.7419460999662988,None,3.207594599982258,3.234638400026597,4.722853999992367,4.722895800019614,4.736085599986836,5.222792599990498,,,,,,,pilot,001,2026-04-19_11h12.27.201,midterm_project,,2026.1.1,60.08777622734629,2026-04-19 11h12.27.429905 +0800,
1,1,0,12,0,conjunction,left,left,1.0716992000234313,None,0,0,0,0,0,1,1,5,5.2358153000241145,,,,,,,,,,,,,,,,,5.222998199984431,5.223016300005838,5.223041300021578,5.2358153000241145,5.722736400028225,5.757844900013879,5.784915700030979,6.857226099993568,left,1.0716992000234313,None,6.857319400005508,6.8842151000280865,8.37160260003293,8.371638500015251,8.385303999995813,8.858146500017028,5.784915700030979,,,,,,pilot,001,2026-04-19_11h12.27.201,midterm_project,,2026.1.1,60.08777622734629,2026-04-19 11h12.27.429905 +0800,
2,2,0,4,1,conjunction,right,right,1.2978463999461383,None,0,0,0,0,0,2,2,3,8.86886260000756,,,,,,,,,,,,,,,,,8.858432899985928,8.858455499983393,8.858487599994987,8.86886260000756,9.357738899998367,9.373242300003767,9.384625300008338,10.694301699986681,right,1.2978463999461383,None,10.694396000006236,10.716752999986056,12.20459189999383,12.204631600005087,12.218385300016962,12.706620100012515,9.384625300008338,,,,,,pilot,001,2026-04-19_11h12.27.201,midterm_project,,2026.1.1,60.08777622734629,2026-04-19 11h12.27.429905 +0800,
3,3,0,4,1,feature,right,right,0.5934945999761112,None,0,0,0,0,0,3,3,0,12.71944060001988,,,,,,,,,,,,,,,,,12.706874400028028,12.706897400028538,12.706929399981163,12.71944060001988,13.222213200002443,13.23095940001076,13.25082850002218,13.854645400017034,right,0.5934945999761112,None,13.85470309999073,13.866952200012747,15.354874400014523,15.354908999986947,15.367765699978918,15.856773199979216,,15.367765699978918,,,,,pilot,001,2026-04-19_11h12.27.201,midterm_project,,2026.1.1,60.08777622734629,2026-04-19 11h12.27.429905 +0800,
4,4,0,24,1,conjunction,right,right,0.9391309999627993,None,0,0,0,0,0,4,4,4,15.868989899987355,,,,,,,,,,,,,,,,,15.857050499995239,15.8570770000224,15.857113000005484,15.868989899987355,16.371663700032514,16.437253799987957,16.467087400029413,17.42223299999023,right,0.9391309999627993,None,17.42229050002061,17.43447500001639,18.92555819998961,18.925629500008654,18.93507090001367,19.42149400000926,,,19.433733400015626,,,,pilot,001,2026-04-19_11h12.27.201,midterm_project,,2026.1.1,60.08777622734629,2026-04-19 11h12.27.429905 +0800,
5,5,0,24,1,feature,right,right,0.6229162999661639,None,0,0,0,0,0,5,5,1,19.433733400015626,,,,,,,,,,,,,,,,,19.42166900000302,19.42168520000996,19.42171010002494,19.433733400015626,19.921740300022066,19.961650000012014,19.983455799985677,20.62130270001944,right,0.6229162999661639,None,20.621360399993137,20.633016699983273,22.120450999995228,22.120483300008345,22.133463000005577,22.621549000032246,19.983455799985677,22.133463000005577,,,,,pilot,001,2026-04-19_11h12.27.201,midterm_project,,2026.1.1,60.08777622734629,2026-04-19 11h12.27.429905 +0800,
0,0,0,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.626671999983955,22.648697399999946,24.636437900015153,pilot,001,2026-04-19_11h12.27.201,midterm_project,,2026.1.1,60.08777622734629,2026-04-19 11h12.27.429905 +0800,
0,0,0,24,1,conjunction,right,right,0.8197861000080593,None,1,0,1,0,0,0,0,4,24.649507299996912,,,,,,,,,,,,,,,,,24.642546900024172,24.642561900021974,24.642582200001925,24.649507299996912,25.13667129998794,25.273055500001647,25.299403799988795,26.122100699984003,right,0.8197861000080593,None,26.122174700023606,26.133002799993847,27.6196229000343,27.619657000002917,27.632949799997732,28.120423700020183,25.299403799988795,27.632949799997732,28.13337659998797,,,,pilot,001,2026-04-19_11h12.27.201,midterm_project,,2026.1.1,60.08777622734629,2026-04-19 11h12.27.429905 +0800,
1,1,0,4,1,feature,right,,,,,,,,0,1,1,0,28.13337659998797,,,,,,,,,,,,,,,,,28.120615900028497,28.120634399994742,28.120661200024188,28.13337659998797,,,,,,,,,,,,,,,,,,,,,,,,,,,,
