thisN,thisTrialN,thisRepN,set_size,target_present,condition_type,corr_resp,prac_key_resp.keys,prac_key_resp.corr,prac_key_resp.rt,prac_key_resp.duration,practice_repeat_loop.thisRepN,practice_repeat_loop.thisTrialN,practice_repeat_loop.thisN,practice_repeat_loop.thisIndex,practice_loop.thisRepN,practice_loop.thisTrialN,practice_loop.thisN,practice_loop.thisIndex,thisRow.t,notes,piloting,start.started,open_text.started,start_key.started,start.stopped,start_key.keys,start_key.rt,start_key.duration,instr_practice.started,prac_text.started,prac_key.started,instr_practice.stopped,prac_key.keys,prac_key.rt,prac_key.duration,reset_prac_acc.started,reset_prac_acc.stopped,fixation.started,fix_text.started,fix_text.stopped,fixation.stopped,trial_prac.started,prac_key_resp.started,trial_prac.stopped,practice_loop.prac_key_resp.keys,practice_loop.prac_key_resp.corr,practice_loop.prac_key_resp.rt,practice_loop.prac_key_resp.duration,feedback.started,fb_text.started,feedback.stopped,ITI.started,ITI_text.started,ITI.stopped,fb_text.stopped,ITI_text.stopped,prac_feedback.started,prac_fb_text.started,prac_feedback.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,True,0.008629799995105714,0.02352609997615218,0.02352609997615218,1.4625616999692284,space,1.3594152999576181,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-04-19_21h05.33.516,midterm_project,,2026.1.1,59.94973814067299,2026-04-19 21h05.33.982384 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4626073999679647,1.4724066999624483,1.4724066999624483,2.42771769996034,space,0.9500249000266194,None,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-04-19_21h05.33.516,midterm_project,,2026.1.1,59.94973814067299,2026-04-19 21h05.33.982384 +0800,
0,0,0,24,1,feature,right,left,0,0.5944692999473773,None,0,0,0,0,0,0,0,1,2.48895219998667,,,,,,,,,,,,,,,,,2.4819491999805905,2.4819654999882914,2.4819848999613896,2.48895219998667,3.0391397000057623,2.9769708999665454,3.018603299977258,3.0391397000057623,3.646706599975005,left,0,0.5944692999473773,None,3.646801900002174,3.6713291999767534,5.159675700007938,5.159706200007349,5.172668099985458,5.661097100004554,,,,,,pilot,001,2026-04-19_21h05.33.516,midterm_project,,2026.1.1,59.94973814067299,2026-04-19 21h05.33.982384 +0800,
1,1,0,12,0,conjunction,left,left,1,1.6864390999544412,None,0,0,0,0,0,1,1,5,5.673034999985248,,,,,,,,,,,,,,,,,5.661351899965666,5.66137579997303,5.661407799983863,5.673034999985248,6.271895699959714,6.160656599968206,6.253538599994499,6.271895699959714,7.960863999964204,left,1,1.6864390999544412,None,7.960944799997378,7.9876846999977715,9.475021999969613,9.475057500007097,9.489174699992873,9.975813900004141,,,,,,pilot,001,2026-04-19_21h05.33.516,midterm_project,,2026.1.1,59.94973814067299,2026-04-19 21h05.33.982384 +0800,
2,2,0,4,1,conjunction,right,right,1,0.8291213000193238,None,0,0,0,0,0,2,2,3,9.989148899971042,,,,,,,,,,,,,,,,,9.976037799962796,9.976057499996386,9.976084399968386,9.989148899971042,10.504892900004052,10.475553099997342,10.484931499988306,10.504892900004052,11.34216140001081,right,1,0.8291213000193238,None,11.342248399974778,11.355548799969256,12.84168969996972,12.841720999975223,12.855318999965675,13.342329300008714,12.855318999965675,13.355443099979311,,,,pilot,001,2026-04-19_21h05.33.516,midterm_project,,2026.1.1,59.94973814067299,2026-04-19 21h05.33.982384 +0800,
3,3,0,12,0,feature,left,left,1,0.784260600048583,None,0,0,0,0,0,3,3,2,13.355443099979311,,,,,,,,,,,,,,,,,13.342626199999359,13.342646999983117,13.342674699961208,13.355443099979311,13.887563099968247,13.842112199985422,13.862481399963144,13.887563099968247,14.677307799982373,left,1,0.784260600048583,None,14.677391499979421,14.703135299962014,16.191442199982703,16.19148330000462,16.204997699998785,16.690994500007946,,,,,,pilot,001,2026-04-19_21h05.33.516,midterm_project,,2026.1.1,59.94973814067299,2026-04-19 21h05.33.982384 +0800,
4,4,0,4,1,feature,right,left,0,0.7013881999882869,None,0,0,0,0,0,4,4,0,16.705032099969685,,,,,,,,,,,,,,,,,16.691176899999846,16.691193800012115,16.691216600011103,16.705032099969685,,17.19201499997871,17.200627899961546,17.22045279998565,17.925389799987897,left,0,0.7013881999882869,None,17.92546100000618,17.936707599961665,19.424493599974085,19.42452930001309,19.43787089997204,19.924457899993286,19.43787089997204,19.937363800010644,,,,pilot,001,2026-04-19_21h05.33.516,midterm_project,,2026.1.1,59.94973814067299,2026-04-19 21h05.33.982384 +0800,
5,5,0,24,1,conjunction,right,left,0,0.7463538000010885,None,0,0,0,0,0,5,5,4,19.937363800010644,,,,,,,,,,,,,,,,,19.9246236999752,19.924639099976048,19.92466149997199,19.937363800010644,20.587470799975563,20.42414339998504,20.554068900004495,20.587470799975563,21.342216899967752,left,0,0.7463538000010885,None,21.342287299979944,21.35486329998821,22.840634399966802,22.840670400008094,22.854023199994117,23.34051259997068,22.854023199994117,23.38571529998444,,,,pilot,001,2026-04-19_21h05.33.516,midterm_project,,2026.1.1,59.94973814067299,2026-04-19 21h05.33.982384 +0800,
0,0,0,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.355976499966346,23.38571529998444,25.35654499998782,pilot,001,2026-04-19_21h05.33.516,midterm_project,,2026.1.1,59.94973814067299,2026-04-19 21h05.33.982384 +0800,
0,0,0,12,0,conjunction,left,,,,,1,0,1,0,0,0,0,5,25.370478999975603,,,,,,,,,,,,,,,,,25.36180819995934,25.361824799969327,25.36184550001053,25.370478999975603,25.919428799999878,25.857113800011575,25.891592799976934,25.919428799999878,,,,,,,,,,,,,,,,,,,,,,,,,
