thisN,thisTrialN,thisRepN,set_size,target_present,condition_type,corr_resp,prac_key_resp.keys,prac_key_resp.corr,prac_key_resp.rt,prac_key_resp.duration,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,key_rest.keys,key_rest.rt,key_rest.duration,practice_repeat_loop.thisRepN,practice_repeat_loop.thisTrialN,practice_repeat_loop.thisN,practice_repeat_loop.thisIndex,practice_loop.thisRepN,practice_loop.thisTrialN,practice_loop.thisN,practice_loop.thisIndex,formal_loop.thisRepN,formal_loop.thisTrialN,formal_loop.thisN,formal_loop.thisIndex,thisRow.t,notes,piloting,start.started,open_text.started,start_key.started,start.stopped,start_key.keys,start_key.rt,start_key.duration,instr_practice.started,prac_text.started,prac_key.started,instr_practice.stopped,prac_key.keys,prac_key.rt,prac_key.duration,reset_prac_acc.started,reset_prac_acc.stopped,fixation.started,fix_text.started,fixation.stopped,trial_prac.started,prac_key_resp.started,trial_prac.stopped,practice_loop.prac_key_resp.keys,practice_loop.prac_key_resp.corr,practice_loop.prac_key_resp.rt,practice_loop.prac_key_resp.duration,feedback.started,fb_text.started,feedback.stopped,ITI.started,ITI_text.started,ITI.stopped,prac_feedback.started,prac_fb_text.started,prac_feedback.stopped,instr_formal.started,formal_text.started,formal_key.started,instr_formal.stopped,formal_key.keys,formal_key.rt,formal_key.duration,trial.started,key_resp.started,trial.stopped,formal_loop.key_resp.keys,formal_loop.key_resp.corr,formal_loop.key_resp.rt,formal_loop.key_resp.duration,ITI_text.stopped,rest_routine.started,rest_routine.stopped,formal_loop.key_rest.keys,fix_text.stopped,rest_text.started,key_rest.started,formal_loop.key_rest.rt,formal_loop.key_rest.duration,thanks.started,thanks_text.started,thanks.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0.0067119000013917685,0.022119500034023076,0.022119500034023076,8.94401730003301,space,8.914127899974119,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-04-19_21h11.32.483,midterm_project,,2026.1.1,59.80349766099708,2026-04-19 21h11.32.702471 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.94406250002794,8.953739700024016,8.953739700024016,11.574538099986967,space,2.6087131000240333,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-04-19_21h11.32.483,midterm_project,,2026.1.1,59.80349766099708,2026-04-19 21h11.32.702471 +0800,
0,0,0,24,1,conjunction,right,right,1,0.8133913000347093,None,,,,,,,,0,0,0,0,0,0,0,4,,,,,11.602569599985145,,,,,,,,,,,,,,,,,11.575616299989633,11.575638000038452,11.588072200014722,11.602569599985145,12.090091500023846,12.154376799997408,12.186005900031887,13.010995600023307,right,1,0.8133913000347093,None,13.011089500039816,13.034954200033098,14.523459999996703,14.523504699987825,14.536765100026969,15.024452599987853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-04-19_21h11.32.483,midterm_project,,2026.1.1,59.80349766099708,2026-04-19 21h11.32.702471 +0800,
1,1,0,12,0,conjunction,left,left,1,1.505012900044676,None,,,,,,,,0,0,0,0,0,1,1,5,,,,,15.037900099996477,,,,,,,,,,,,,,,,,,,15.024640600022394,15.037900099996477,15.523276399995666,15.555801100039389,15.568982500000857,17.07535649999045,left,1,1.505012900044676,None,17.075444000016432,17.101291100028902,18.58899930003099,18.58903959998861,18.602292100025807,19.089443600038067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-04-19_21h11.32.483,midterm_project,,2026.1.1,59.80349766099708,2026-04-19 21h11.32.702471 +0800,
2,2,0,12,0,feature,left,right,0,0.7894285999936983,None,,,,,,,,0,0,0,0,0,2,2,2,,,,,19.102695900015533,,,,,,,,,,,,,,,,,,,19.08964110002853,19.102695900015533,19.58900740003446,19.608352500014007,19.63547630002722,20.426250500022434,right,0,0.7894285999936983,None,20.426365600025747,20.451485600031447,21.938376800040714,21.938412800023798,21.95183860004181,22.439814599987585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-04-19_21h11.32.483,midterm_project,,2026.1.1,59.80349766099708,2026-04-19 21h11.32.702471 +0800,
3,3,0,24,1,feature,right,right,1,1.0352924999897368,None,,,,,,,,0,0,0,0,0,3,3,1,,,,,22.45330809999723,,,,,,,,,,,,,,,,,,,22.440052499994636,22.45330809999723,22.93862359999912,22.97631110000657,23.00135410000803,24.041710200021043,right,1,1.0352924999897368,None,24.04179829999339,24.068019400001504,25.55483889998868,25.55487930000527,25.56851990002906,26.055461600015406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-04-19_21h11.32.483,midterm_project,,2026.1.1,59.80349766099708,2026-04-19 21h11.32.702471 +0800,
4,4,0,4,1,feature,right,None,0,,,,,,,,,,0,0,0,0,0,4,4,0,,,,,26.068557500024326,,,,,,,,,,,,,,,,,,,26.05567999999039,26.068557500024326,26.555872199998703,26.56318920000922,26.584103100001812,28.55473820003681,None,0,,,28.554804200015496,28.5829381000367,30.05368529999396,30.053723099990748,30.067975100013427,30.55547960003605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-04-19_21h11.32.483,midterm_project,,2026.1.1,59.80349766099708,2026-04-19 21h11.32.702471 +0800,
5,5,0,4,1,conjunction,right,right,1,0.9408168999943882,None,,,,,,,,0,0,0,0,0,5,5,3,,,,,30.56843210000079,,,,,,,,,,,,,,,,,,,30.55571470002178,30.56843210000079,31.05515780003043,31.065847099991515,31.083464900031686,32.03833330003545,right,1,0.9408168999943882,None,32.0384087000275,32.06601509999018,33.55380350002088,33.55384629999753,33.56772799999453,34.05462509999052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-04-19_21h11.32.483,midterm_project,,2026.1.1,59.80349766099708,2026-04-19 21h11.32.702471 +0800,
0,0,0,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.06060020002769,34.0825354999979,36.0534451000276,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-04-19_21h11.32.483,midterm_project,,2026.1.1,59.80349766099708,2026-04-19 21h11.32.702471 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.05354009999428,36.06736909999745,36.06736909999745,39.521331000025384,space,3.4445753000327386,None,,,,,,,,,,,,,,,,,,,,pilot,001,2026-04-19_21h11.32.483,midterm_project,,2026.1.1,59.80349766099708,2026-04-19 21h11.32.702471 +0800,
